trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1065-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann6.wav","Theta",180,"yann"
2,"1028-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth7.wav","Gamma",180,"synth"
3,"1001-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch3.wav","Gamma",90,"orch"
4,"1017-sin-37.5Hz-ninety.avi","zero","sin-zero-orch24.wav","Gamma",0,"orch"
5,"1067-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann18.wav","Theta",180,"yann"
6,"1018-sin-37.5Hz-ninety.avi","zero","sin-zero-orch12.wav","Gamma",0,"orch"
7,"1035-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth8.wav","Gamma",180,"synth"
8,"1058-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann21.wav","Theta",0,"yann"
9,"1041-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth15.wav","Gamma",270,"synth"
10,"1052-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann19.wav","Theta",0,"yann"
11,"1026-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth16.wav","Gamma",270,"synth"
12,"1012-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch4.wav","Gamma",90,"orch"
