trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1140-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar16.wav","Gamma",270,"dar"
2,"1111-sin-37.5Hz-ninety.avi","zero","sin-zero-choir12.wav","Gamma",0,"choir"
3,"1127-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar10.wav","Gamma",180,"dar"
4,"1131-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar7.wav","Gamma",180,"dar"
5,"1113-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir2.wav","Gamma",90,"choir"
6,"1148-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep19.wav","Theta",0,"ep"
7,"1132-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar14.wav","Gamma",270,"dar"
8,"1154-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep21.wav","Theta",0,"ep"
9,"1168-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep5.wav","Theta",180,"ep"
10,"1146-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep6.wav","Theta",180,"ep"
11,"1108-sin-37.5Hz-ninety.avi","zero","sin-zero-choir11.wav","Gamma",0,"choir"
12,"1114-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir3.wav","Gamma",90,"choir"
