trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1073-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-orch4.wav","Theta",0,"orch"
2,"1043-sin-37.5Hz-ninety.avi","ninety","sin-ninety-ep19.wav","Gamma",90,"ep"
3,"1082-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-orch7.wav","Theta",180,"orch"
4,"1055-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-guitar23.wav","Gamma",270,"guitar"
5,"1061-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-guitar6.wav","Gamma",180,"guitar"
6,"1039-sin-37.5Hz-ninety.avi","zero","sin-zero-ep14.wav","Gamma",0,"ep"
7,"1069-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-guitar24.wav","Gamma",270,"guitar"
8,"1075-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-orch8.wav","Theta",180,"orch"
9,"1032-sin-37.5Hz-ninety.avi","zero","sin-zero-ep15.wav","Gamma",0,"ep"
10,"1027-sin-37.5Hz-ninety.avi","ninety","sin-ninety-ep21.wav","Gamma",90,"ep"
11,"1077-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-orch2.wav","Theta",0,"orch"
12,"1056-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-guitar5.wav","Gamma",180,"guitar"
