respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
17,12,1,1154.avi,zero,sin-zero-4Hz-yann1.wav,0,yann,1,0.723875345829583,21266.4418744915
17,12,2,1069.avi,zero,sin-zero-4Hz-ep9.wav,0,ep,2,0.291843021597742,21273.5858290179
17,12,3,1042.avi,oneeighty,sin-oneeighty-4Hz-acoustic19.wav,180,acoustic,2,0.629833201768633,21279.023803048
17,12,4,1136.avi,oneeighty,sin-oneeighty-4Hz-guitar17.wav,180,guitar,4,0.466938450230373,21285.7945989432
17,12,5,1073.avi,oneeighty,sin-oneeighty-4Hz-ep16.wav,180,ep,2,0.778661720025411,21292.6987866338
17,12,6,1161.avi,zero,sin-zero-4Hz-yann9.wav,0,yann,1,0.338079835539247,21298.363279032
17,12,7,1070.avi,zero,sin-zero-4Hz-ep7.wav,0,ep,5,0.508226710357121,21304.081070793
17,12,8,1027.avi,oneeighty,sin-oneeighty-4Hz-acoustic23.wav,180,acoustic,2,1.36669619960958,21310.958511902
17,12,9,1186.avi,oneeighty,sin-oneeighty-4Hz-yann14.wav,180,yann,1,1.11592046934675,21318.2492162702
17,12,10,1132.avi,oneeighty,sin-oneeighty-4Hz-guitar16.wav,180,guitar,4,0.363983898259903,21325.3130623648
17,12,11,1098.avi,zero,sin-zero-4Hz-guitar7.wav,0,guitar,1,0.344916283920611,21331.7640180096
17,12,12,1096.avi,oneeighty,sin-oneeighty-4Hz-ep14.wav,180,ep,3,0.792336428003182,21337.1885983726
17,12,13,1102.avi,zero,sin-zero-4Hz-guitar11.wav,0,guitar,1,0.631549332338182,21342.6532948349
17,12,14,1179.avi,oneeighty,sin-oneeighty-4Hz-yann22.wav,180,yann,4,0.91066068762666,21347.8380633836
17,12,15,1007.avi,zero,sin-zero-4Hz-acoustic2.wav,0,acoustic,2,0.915544037539803,21353.8891539642
17,12,16,1019.avi,zero,sin-zero-4Hz-acoustic10.wav,0,acoustic,3,1.26986266427411,21360.2067114742
