trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1032-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann14.wav","Gamma",180,"yann"
2,"1027-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann22.wav","Gamma",270,"yann"
3,"1031-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann21.wav","Gamma",270,"yann"
4,"1054-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic23.wav","Theta",180,"acoustic"
5,"1072-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic18.wav","Theta",0,"acoustic"
6,"1063-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic11.wav","Theta",180,"acoustic"
7,"1018-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth7.wav","Gamma",90,"synth"
8,"1044-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann15.wav","Gamma",180,"yann"
9,"1011-sin-37.5Hz-ninety.avi","zero","sin-zero-synth4.wav","Gamma",0,"synth"
10,"1022-sin-37.5Hz-ninety.avi","zero","sin-zero-synth2.wav","Gamma",0,"synth"
11,"1010-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth10.wav","Gamma",90,"synth"
12,"1056-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic17.wav","Theta",0,"acoustic"
