trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1003-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-acoustic12.wav","Gamma",270,"acoustic"
2,"1006-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-acoustic23.wav","Gamma",270,"acoustic"
3,"1028-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-choir2.wav","Theta",0,"choir"
4,"1185-sin-37.5Hz-ninety.avi","zero","sin-zero-yann16.wav","Gamma",0,"yann"
5,"1176-sin-37.5Hz-ninety.avi","zero","sin-zero-yann14.wav","Gamma",0,"yann"
6,"1033-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-choir8.wav","Theta",180,"choir"
7,"1014-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-acoustic6.wav","Gamma",180,"acoustic"
8,"1037-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-choir10.wav","Theta",180,"choir"
9,"1174-sin-37.5Hz-ninety.avi","ninety","sin-ninety-yann19.wav","Gamma",90,"yann"
10,"1016-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-acoustic17.wav","Gamma",180,"acoustic"
11,"1190-sin-37.5Hz-ninety.avi","ninety","sin-ninety-yann20.wav","Gamma",90,"yann"
12,"1031-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-choir3.wav","Theta",0,"choir"
