trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1009-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth9.wav","Gamma",270,"synth"
2,"1022-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth3.wav","Gamma",180,"synth"
3,"1023-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth1.wav","Gamma",180,"synth"
4,"1037-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann21.wav","Theta",180,"yann"
5,"1186-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch23.wav","Gamma",90,"orch"
6,"1185-sin-37.5Hz-ninety.avi","zero","sin-zero-orch5.wav","Gamma",0,"orch"
7,"1016-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth7.wav","Gamma",270,"synth"
8,"1038-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann15.wav","Theta",0,"yann"
9,"1182-sin-37.5Hz-ninety.avi","zero","sin-zero-orch18.wav","Gamma",0,"orch"
10,"1040-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann19.wav","Theta",180,"yann"
11,"1183-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch11.wav","Gamma",90,"orch"
12,"1026-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann16.wav","Theta",0,"yann"
