trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1067.avi","zero","sin-zero-4Hz-yann4.wav","Theta",0,"yann"
2,"1007.avi","zero","sin-zero-4Hz-synth8.wav","Theta",0,"synth"
3,"1034.avi","oneeighty","sin-oneeighty-4Hz-synth23.wav","Theta",180,"synth"
4,"1060.avi","zero","sin-zero-4Hz-yann8.wav","Theta",0,"yann"
5,"1131.avi","oneeighty","sin-oneeighty-4Hz-acoustic15.wav","Theta",180,"acoustic"
6,"1183.avi","oneeighty","sin-oneeighty-4Hz-choir22.wav","Theta",180,"choir"
7,"1080.avi","oneeighty","sin-oneeighty-4Hz-yann21.wav","Theta",180,"yann"
8,"1122.avi","oneeighty","sin-oneeighty-4Hz-acoustic18.wav","Theta",180,"acoustic"
9,"1040.avi","oneeighty","sin-oneeighty-4Hz-synth19.wav","Theta",180,"synth"
10,"1102.avi","zero","sin-zero-4Hz-acoustic4.wav","Theta",0,"acoustic"
11,"1147.avi","zero","sin-zero-4Hz-choir4.wav","Theta",0,"choir"
12,"1107.avi","zero","sin-zero-4Hz-acoustic10.wav","Theta",0,"acoustic"
13,"1171.avi","oneeighty","sin-oneeighty-4Hz-choir14.wav","Theta",180,"choir"
14,"1146.avi","zero","sin-zero-4Hz-choir3.wav","Theta",0,"choir"
15,"1092.avi","oneeighty","sin-oneeighty-4Hz-yann19.wav","Theta",180,"yann"
16,"1016.avi","zero","sin-zero-4Hz-synth6.wav","Theta",0,"synth"
