trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1087-sin-37.5Hz-ninety.avi","zero","sin-zero-synth8.wav","Gamma",0,"synth"
2,"1115-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann21.wav","Gamma",180,"yann"
3,"1113-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann17.wav","Gamma",270,"yann"
4,"1092-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth15.wav","Gamma",90,"synth"
5,"1076-sin-37.5Hz-ninety.avi","zero","sin-zero-synth7.wav","Gamma",0,"synth"
6,"1143-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic23.wav","Theta",0,"acoustic"
7,"1129-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic3.wav","Theta",180,"acoustic"
8,"1108-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann6.wav","Gamma",270,"yann"
9,"1093-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth14.wav","Gamma",90,"synth"
10,"1103-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann19.wav","Gamma",180,"yann"
11,"1137-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic1.wav","Theta",180,"acoustic"
12,"1126-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic12.wav","Theta",0,"acoustic"
