trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1157-sin-37.5Hz-ninety.avi","zero","sin-zero-choir9.wav","Gamma",0,"choir"
2,"1162-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir16.wav","Gamma",90,"choir"
3,"1186-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar19.wav","Gamma",180,"dar"
4,"1013-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep3.wav","Theta",180,"ep"
5,"1145-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir13.wav","Gamma",90,"choir"
6,"1161-sin-37.5Hz-ninety.avi","zero","sin-zero-choir10.wav","Gamma",0,"choir"
7,"1024-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep11.wav","Theta",0,"ep"
8,"1174-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar5.wav","Gamma",270,"dar"
9,"1169-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar18.wav","Gamma",270,"dar"
10,"1008-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep1.wav","Theta",180,"ep"
11,"1016-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep12.wav","Theta",0,"ep"
12,"1189-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar20.wav","Gamma",180,"dar"
