respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
1,3,1,1159.avi,zero,sin-zero-4Hz-synth2.wav,0,synth,5,0.997962668072432,1384555.289619
1,3,2,1033.avi,oneeighty,sin-oneeighty-4Hz-choir19.wav,180,choir,4,0.464619433507323,1384562.48699658
1,3,3,1017.avi,zero,sin-zero-4Hz-choir11.wav,0,choir,3,1.12304198485799,1384568.88458027
1,3,4,1183.avi,oneeighty,sin-oneeighty-4Hz-synth14.wav,180,synth,4,1.15478560188785,1384575.74868248
1,3,5,1062.avi,zero,sin-zero-4Hz-dar2.wav,0,dar,3,1.60770056513138,1384582.23972323
1,3,6,1097.avi,zero,sin-zero-4Hz-orch12.wav,0,orch,5,1.39448075951077,1384589.47698138
1,3,7,1083.avi,oneeighty,sin-oneeighty-4Hz-dar24.wav,180,dar,3,3.19721758854575,1384597.27408196
1,3,8,1169.avi,oneeighty,sin-oneeighty-4Hz-synth17.wav,180,synth,3,1.20022936211899,1384605.55102295
1,3,9,1036.avi,oneeighty,sin-oneeighty-4Hz-choir23.wav,180,choir,4,1.93092089565471,1384612.86836192
1,3,10,1050.avi,zero,sin-zero-4Hz-dar11.wav,0,dar,1,1.17102810856886,1384620.65214875
1,3,11,1092.avi,oneeighty,sin-oneeighty-4Hz-dar21.wav,180,dar,2,0.712366414256394,1384627.98278184
1,3,12,1015.avi,zero,sin-zero-4Hz-choir4.wav,0,choir,4,0.341440700693056,1384634.51367992
1,3,13,1122.avi,oneeighty,sin-oneeighty-4Hz-orch19.wav,180,orch,1,1.79418269149028,1384640.44483869
1,3,14,1124.avi,oneeighty,sin-oneeighty-4Hz-orch18.wav,180,orch,1,2.15156885725446,1384647.93540792
1,3,15,1101.avi,zero,sin-zero-4Hz-orch2.wav,0,orch,1,1.10348734236322,1384654.91947845
1,3,16,1165.avi,zero,sin-zero-4Hz-synth9.wav,0,synth,3,0.612196339759976,1384660.53079393
