respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
1,10,1,1023.avi,zero,sin-zero-4Hz-dar7.wav,0,dar,2,2.93467678292654,1468102.03075348
1,10,2,1010.avi,zero,sin-zero-4Hz-dar9.wav,0,dar,2,0.734916831366718,1468110.09439829
1,10,3,1107.avi,zero,sin-zero-4Hz-guitar6.wav,0,guitar,3,1.62821485777386,1468117.14506805
1,10,4,1081.avi,oneeighty,sin-oneeighty-4Hz-ep22.wav,180,ep,5,2.80636109993793,1468123.30286422
1,10,5,1090.avi,oneeighty,sin-oneeighty-4Hz-ep14.wav,180,ep,5,0.358646177919582,1468131.28655651
1,10,6,1119.avi,zero,sin-zero-4Hz-guitar5.wav,0,guitar,2,0.422112884232774,1468137.23107642
1,10,7,1171.avi,oneeighty,sin-oneeighty-4Hz-orch17.wav,180,orch,4,0.994850974995643,1468143.28231159
1,10,8,1164.avi,zero,sin-zero-4Hz-orch11.wav,0,orch,4,0.624210831942037,1468150.29286412
1,10,9,1185.avi,oneeighty,sin-oneeighty-4Hz-orch20.wav,180,orch,3,0.564673589309677,1468155.50436174
1,10,10,1031.avi,oneeighty,sin-oneeighty-4Hz-dar22.wav,180,dar,2,1.66560075781308,1468161.79538022
1,10,11,1032.avi,oneeighty,sin-oneeighty-4Hz-dar16.wav,180,dar,5,0.921448162989691,1468168.61950616
1,10,12,1052.avi,zero,sin-zero-4Hz-ep1.wav,0,ep,4,0.926829629112035,1468175.95010967
1,10,13,1138.avi,oneeighty,sin-oneeighty-4Hz-guitar14.wav,180,guitar,4,0.785289250314236,1468182.5875941
1,10,14,1131.avi,oneeighty,sin-oneeighty-4Hz-guitar15.wav,180,guitar,2,1.04104247153737,1468189.29178523
1,10,15,1068.avi,zero,sin-zero-4Hz-ep4.wav,0,ep,3,1.13640584331006,1468194.95638498
1,10,16,1153.avi,zero,sin-zero-4Hz-orch7.wav,0,orch,4,0.447707375278696,1468200.78103195
