trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1002-sin-37.5Hz-ninety.avi","ninety","sin-ninety-guitar19.wav","Gamma",90,"guitar"
2,"1001-sin-37.5Hz-ninety.avi","zero","sin-zero-guitar14.wav","Gamma",0,"guitar"
3,"1046-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-orch12.wav","Gamma",270,"orch"
4,"1059-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-synth2.wav","Theta",0,"synth"
5,"1026-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-orch18.wav","Gamma",180,"orch"
6,"1021-sin-37.5Hz-ninety.avi","zero","sin-zero-guitar15.wav","Gamma",0,"guitar"
7,"1010-sin-37.5Hz-ninety.avi","ninety","sin-ninety-guitar22.wav","Gamma",90,"guitar"
8,"1044-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-orch24.wav","Gamma",270,"orch"
9,"1067-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-synth9.wav","Theta",180,"synth"
10,"1060-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-synth1.wav","Theta",0,"synth"
11,"1058-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-synth8.wav","Theta",180,"synth"
12,"1033-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-orch17.wav","Gamma",180,"orch"
