trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1156.avi","zero","sin-zero-4Hz-yann8.wav","Theta",0,"yann"
2,"1028.avi","oneeighty","sin-oneeighty-4Hz-dar19.wav","Theta",180,"dar"
3,"1038.avi","oneeighty","sin-oneeighty-4Hz-dar24.wav","Theta",180,"dar"
4,"1083.avi","oneeighty","sin-oneeighty-4Hz-ep22.wav","Theta",180,"ep"
5,"1096.avi","oneeighty","sin-oneeighty-4Hz-ep21.wav","Theta",180,"ep"
6,"1068.avi","zero","sin-zero-4Hz-ep4.wav","Theta",0,"ep"
7,"1063.avi","zero","sin-zero-4Hz-ep5.wav","Theta",0,"ep"
8,"1165.avi","zero","sin-zero-4Hz-yann11.wav","Theta",0,"yann"
9,"1107.avi","zero","sin-zero-4Hz-synth9.wav","Theta",0,"synth"
10,"1123.avi","oneeighty","sin-oneeighty-4Hz-synth18.wav","Theta",180,"synth"
11,"1001.avi","zero","sin-zero-4Hz-dar7.wav","Theta",0,"dar"
12,"1108.avi","zero","sin-zero-4Hz-synth10.wav","Theta",0,"synth"
13,"1130.avi","oneeighty","sin-oneeighty-4Hz-synth17.wav","Theta",180,"synth"
14,"1180.avi","oneeighty","sin-oneeighty-4Hz-yann20.wav","Theta",180,"yann"
15,"1002.avi","zero","sin-zero-4Hz-dar3.wav","Theta",0,"dar"
16,"1183.avi","oneeighty","sin-oneeighty-4Hz-yann21.wav","Theta",180,"yann"
