trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1114.avi","zero","sin-zero-4Hz-guitar9.wav","Theta",0,"guitar","1117.avi","1114.avi","1124.avi","1139.avi",2
2,"1151.avi","zero","sin-zero-4Hz-yann2.wav","Theta",0,"yann","1151.avi","1188.avi","1189.avi","1146.avi",1
3,"1189.avi","oneeighty","sin-oneeighty-4Hz-yann19.wav","Theta",180,"yann","1189.avi","1146.avi","1188.avi","1151.avi",1
4,"1015.avi","zero","sin-zero-4Hz-acoustic2.wav","Theta",0,"acoustic","1015.avi","1043.avi","1004.avi","1039.avi",1
5,"1004.avi","zero","sin-zero-4Hz-acoustic3.wav","Theta",0,"acoustic","1004.avi","1043.avi","1015.avi","1039.avi",1
6,"1117.avi","zero","sin-zero-4Hz-guitar6.wav","Theta",0,"guitar","1139.avi","1124.avi","1117.avi","1114.avi",3
7,"1188.avi","oneeighty","sin-oneeighty-4Hz-yann17.wav","Theta",180,"yann","1146.avi","1151.avi","1188.avi","1189.avi",3
8,"1039.avi","oneeighty","sin-oneeighty-4Hz-acoustic20.wav","Theta",180,"acoustic","1043.avi","1039.avi","1015.avi","1004.avi",2
9,"1080.avi","oneeighty","sin-oneeighty-4Hz-ep24.wav","Theta",180,"ep","1086.avi","1062.avi","1080.avi","1060.avi",3
10,"1043.avi","oneeighty","sin-oneeighty-4Hz-acoustic13.wav","Theta",180,"acoustic","1015.avi","1043.avi","1039.avi","1004.avi",2
11,"1124.avi","oneeighty","sin-oneeighty-4Hz-guitar15.wav","Theta",180,"guitar","1114.avi","1139.avi","1124.avi","1117.avi",3
12,"1062.avi","zero","sin-zero-4Hz-ep9.wav","Theta",0,"ep","1080.avi","1060.avi","1062.avi","1086.avi",3
13,"1146.avi","zero","sin-zero-4Hz-yann12.wav","Theta",0,"yann","1189.avi","1151.avi","1188.avi","1146.avi",4
14,"1139.avi","oneeighty","sin-oneeighty-4Hz-guitar17.wav","Theta",180,"guitar","1124.avi","1117.avi","1139.avi","1114.avi",3
15,"1060.avi","zero","sin-zero-4Hz-ep7.wav","Theta",0,"ep","1062.avi","1080.avi","1086.avi","1060.avi",4
16,"1086.avi","oneeighty","sin-oneeighty-4Hz-ep19.wav","Theta",180,"ep","1086.avi","1062.avi","1080.avi","1060.avi",1
