trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1137.avi","oneeighty","sin-oneeighty-4Hz-yann13.wav","Theta",180,"yann"
2,"1192.avi","oneeighty","sin-oneeighty-4Hz-acoustic19.wav","Theta",180,"acoustic"
3,"1049.avi","zero","sin-zero-4Hz-synth2.wav","Theta",0,"synth"
4,"1162.avi","zero","sin-zero-4Hz-acoustic4.wav","Theta",0,"acoustic"
5,"1044.avi","oneeighty","sin-oneeighty-4Hz-orch21.wav","Theta",180,"orch"
6,"1009.avi","zero","sin-zero-4Hz-orch2.wav","Theta",0,"orch"
7,"1084.avi","oneeighty","sin-oneeighty-4Hz-synth14.wav","Theta",180,"synth"
8,"1155.avi","zero","sin-zero-4Hz-acoustic11.wav","Theta",0,"acoustic"
9,"1119.avi","zero","sin-zero-4Hz-yann7.wav","Theta",0,"yann"
10,"1033.avi","oneeighty","sin-oneeighty-4Hz-orch23.wav","Theta",180,"orch"
11,"1022.avi","zero","sin-zero-4Hz-orch6.wav","Theta",0,"orch"
12,"1082.avi","oneeighty","sin-oneeighty-4Hz-synth20.wav","Theta",180,"synth"
13,"1064.avi","zero","sin-zero-4Hz-synth4.wav","Theta",0,"synth"
14,"1191.avi","oneeighty","sin-oneeighty-4Hz-acoustic22.wav","Theta",180,"acoustic"
15,"1103.avi","zero","sin-zero-4Hz-yann6.wav","Theta",0,"yann"
16,"1128.avi","oneeighty","sin-oneeighty-4Hz-yann16.wav","Theta",180,"yann"
