trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1113.avi","zero","sin-zero-4Hz-guitar5.wav","Theta",0,"guitar"
2,"1118.avi","zero","sin-zero-4Hz-guitar11.wav","Theta",0,"guitar"
3,"1125.avi","oneeighty","sin-oneeighty-4Hz-guitar14.wav","Theta",180,"guitar"
4,"1152.avi","zero","sin-zero-4Hz-orch4.wav","Theta",0,"orch"
5,"1051.avi","zero","sin-zero-4Hz-choir6.wav","Theta",0,"choir"
6,"1024.avi","zero","sin-zero-4Hz-acoustic9.wav","Theta",0,"acoustic"
7,"1081.avi","oneeighty","sin-oneeighty-4Hz-choir15.wav","Theta",180,"choir"
8,"1177.avi","oneeighty","sin-oneeighty-4Hz-orch17.wav","Theta",180,"orch"
9,"1030.avi","oneeighty","sin-oneeighty-4Hz-acoustic24.wav","Theta",180,"acoustic"
10,"1159.avi","zero","sin-zero-4Hz-orch9.wav","Theta",0,"orch"
11,"1011.avi","zero","sin-zero-4Hz-acoustic6.wav","Theta",0,"acoustic"
12,"1142.avi","oneeighty","sin-oneeighty-4Hz-guitar16.wav","Theta",180,"guitar"
13,"1052.avi","zero","sin-zero-4Hz-choir2.wav","Theta",0,"choir"
14,"1181.avi","oneeighty","sin-oneeighty-4Hz-orch22.wav","Theta",180,"orch"
15,"1078.avi","oneeighty","sin-oneeighty-4Hz-choir13.wav","Theta",180,"choir"
16,"1047.avi","oneeighty","sin-oneeighty-4Hz-acoustic25.wav","Theta",180,"acoustic"
