trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1162.avi","zero","sin-zero-4Hz-synth1.wav","Theta",0,"synth","1162.avi","1184.avi","1192.avi","1160.avi",1
2,"1192.avi","oneeighty","sin-oneeighty-4Hz-synth21.wav","Theta",180,"synth","1162.avi","1192.avi","1184.avi","1160.avi",2
3,"1126.avi","oneeighty","sin-oneeighty-4Hz-orch20.wav","Theta",180,"orch","1124.avi","1099.avi","1115.avi","1126.avi",4
4,"1115.avi","zero","sin-zero-4Hz-orch5.wav","Theta",0,"orch","1115.avi","1099.avi","1126.avi","1124.avi",1
5,"1029.avi","oneeighty","sin-oneeighty-4Hz-ep24.wav","Theta",180,"ep","1007.avi","1002.avi","1045.avi","1029.avi",4
6,"1067.avi","zero","sin-zero-4Hz-guitar11.wav","Theta",0,"guitar","1084.avi","1078.avi","1067.avi","1057.avi",3
7,"1084.avi","oneeighty","sin-oneeighty-4Hz-guitar21.wav","Theta",180,"guitar","1067.avi","1057.avi","1078.avi","1084.avi",4
8,"1184.avi","oneeighty","sin-oneeighty-4Hz-synth18.wav","Theta",180,"synth","1184.avi","1162.avi","1160.avi","1192.avi",1
9,"1002.avi","zero","sin-zero-4Hz-ep7.wav","Theta",0,"ep","1002.avi","1007.avi","1045.avi","1029.avi",1
10,"1057.avi","zero","sin-zero-4Hz-guitar4.wav","Theta",0,"guitar","1078.avi","1057.avi","1067.avi","1084.avi",2
11,"1045.avi","oneeighty","sin-oneeighty-4Hz-ep22.wav","Theta",180,"ep","1029.avi","1045.avi","1007.avi","1002.avi",2
12,"1160.avi","zero","sin-zero-4Hz-synth6.wav","Theta",0,"synth","1160.avi","1192.avi","1162.avi","1184.avi",1
13,"1007.avi","zero","sin-zero-4Hz-ep10.wav","Theta",0,"ep","1029.avi","1045.avi","1007.avi","1002.avi",3
14,"1078.avi","oneeighty","sin-oneeighty-4Hz-guitar15.wav","Theta",180,"guitar","1084.avi","1078.avi","1067.avi","1057.avi",2
15,"1124.avi","oneeighty","sin-oneeighty-4Hz-orch19.wav","Theta",180,"orch","1115.avi","1126.avi","1099.avi","1124.avi",4
16,"1099.avi","zero","sin-zero-4Hz-orch7.wav","Theta",0,"orch","1126.avi","1115.avi","1099.avi","1124.avi",3
