trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1083.avi","oneeighty","sin-oneeighty-4Hz-choir24.wav","Theta",180,"choir","1064.avi","1072.avi","1083.avi","1096.avi",3
2,"1141.avi","oneeighty","sin-oneeighty-4Hz-guitar22.wav","Theta",180,"guitar","1141.avi","1138.avi","1111.avi","1114.avi",1
3,"1001.avi","zero","sin-zero-4Hz-acoustic5.wav","Theta",0,"acoustic","1005.avi","1042.avi","1001.avi","1034.avi",3
4,"1064.avi","zero","sin-zero-4Hz-choir10.wav","Theta",0,"choir","1072.avi","1064.avi","1083.avi","1096.avi",2
5,"1034.avi","oneeighty","sin-oneeighty-4Hz-acoustic14.wav","Theta",180,"acoustic","1042.avi","1001.avi","1005.avi","1034.avi",4
6,"1042.avi","oneeighty","sin-oneeighty-4Hz-acoustic13.wav","Theta",180,"acoustic","1034.avi","1005.avi","1001.avi","1042.avi",4
7,"1096.avi","oneeighty","sin-oneeighty-4Hz-choir13.wav","Theta",180,"choir","1096.avi","1083.avi","1072.avi","1064.avi",1
8,"1111.avi","zero","sin-zero-4Hz-guitar7.wav","Theta",0,"guitar","1138.avi","1141.avi","1111.avi","1114.avi",3
9,"1148.avi","zero","sin-zero-4Hz-orch10.wav","Theta",0,"orch","1178.avi","1175.avi","1148.avi","1163.avi",3
10,"1005.avi","zero","sin-zero-4Hz-acoustic2.wav","Theta",0,"acoustic","1042.avi","1001.avi","1034.avi","1005.avi",4
11,"1114.avi","zero","sin-zero-4Hz-guitar9.wav","Theta",0,"guitar","1141.avi","1114.avi","1111.avi","1138.avi",2
12,"1175.avi","oneeighty","sin-oneeighty-4Hz-orch21.wav","Theta",180,"orch","1163.avi","1148.avi","1178.avi","1175.avi",4
13,"1072.avi","zero","sin-zero-4Hz-choir6.wav","Theta",0,"choir","1072.avi","1083.avi","1096.avi","1064.avi",1
14,"1178.avi","oneeighty","sin-oneeighty-4Hz-orch22.wav","Theta",180,"orch","1175.avi","1163.avi","1148.avi","1178.avi",4
15,"1138.avi","oneeighty","sin-oneeighty-4Hz-guitar24.wav","Theta",180,"guitar","1138.avi","1141.avi","1114.avi","1111.avi",1
16,"1163.avi","zero","sin-zero-4Hz-orch9.wav","Theta",0,"orch","1148.avi","1178.avi","1175.avi","1163.avi",4
