respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
4,2,1,1026.avi,oneeighty,sin-oneeighty-4Hz-dar13.wav,180,dar,5,2.04437108982893,16473.2716170466
4,2,2,1042.avi,oneeighty,sin-oneeighty-4Hz-dar20.wav,180,dar,3,0.641588142516412,16480.4822770118
4,2,3,1090.avi,oneeighty,sin-oneeighty-4Hz-ep15.wav,180,ep,4,1.74799520025408,16486.9998523852
4,2,4,1001.avi,zero,sin-zero-4Hz-dar2.wav,0,dar,3,1.04398590263372,16494.2237970824
4,2,5,1176.avi,oneeighty,sin-oneeighty-4Hz-orch14.wav,180,orch,2,2.06000981080069,16501.4477402703
4,2,6,1154.avi,zero,sin-zero-4Hz-orch10.wav,0,orch,2,0.558344238419522,16508.1252685518
4,2,7,1108.avi,zero,sin-zero-4Hz-guitar6.wav,0,guitar,3,4.31815375791484,16514.6294583682
4,2,8,1095.avi,oneeighty,sin-oneeighty-4Hz-ep20.wav,180,ep,4,2.20953006256241,16524.0659581758
4,2,9,1138.avi,oneeighty,sin-oneeighty-4Hz-guitar13.wav,180,guitar,4,3.22585976589835,16532.4095502879
4,2,10,1153.avi,zero,sin-zero-4Hz-orch4.wav,0,orch,3,1.40540861992122,16541.765983382
4,2,11,1171.avi,oneeighty,sin-oneeighty-4Hz-orch22.wav,180,orch,2,1.15727652124042,16549.0699748693
4,2,12,1103.avi,zero,sin-zero-4Hz-guitar3.wav,0,guitar,3,1.20528968280996,16556.0938966243
4,2,13,1051.avi,zero,sin-zero-4Hz-ep9.wav,0,ep,5,1.1518096402433,16563.1713059687
4,2,14,1058.avi,zero,sin-zero-4Hz-ep4.wav,0,ep,2,1.53820915121469,16569.9688783234
4,2,15,1125.avi,oneeighty,sin-oneeighty-4Hz-guitar14.wav,180,guitar,2,1.30360690378438,16576.939448331
4,2,16,1021.avi,zero,sin-zero-4Hz-dar4.wav,0,dar,4,1.7007179998036,16583.8701894994
