respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
3,2,1,1009.avi,zero,sin-zero-4Hz-dar6.wav,0,dar,1,4.54576711710251,23555.1963709306
3,2,2,1031.avi,oneeighty,sin-oneeighty-4Hz-dar22.wav,180,dar,4,3.59719925921308,23564.6728044689
3,2,3,1152.avi,zero,sin-zero-4Hz-orch5.wav,0,orch,4,1.29365305287865,23573.2162375347
3,2,4,1178.avi,oneeighty,sin-oneeighty-4Hz-orch17.wav,180,orch,3,1.39200077278656,23579.6137848489
3,2,5,1058.avi,zero,sin-zero-4Hz-ep10.wav,0,ep,4,1.54077450534896,23585.7449176577
3,2,6,1052.avi,zero,sin-zero-4Hz-ep2.wav,0,ep,5,3.27910447536124,23591.942517799
3,2,7,1116.avi,zero,sin-zero-4Hz-guitar11.wav,0,guitar,4,3.00195641313258,23599.7794991691
3,2,8,1126.avi,oneeighty,sin-oneeighty-4Hz-guitar17.wav,180,guitar,1,1.21024332152592,23607.6831434829
3,2,9,1042.avi,oneeighty,sin-oneeighty-4Hz-dar14.wav,180,dar,3,1.39942976941893,23614.8138280162
3,2,10,1094.avi,oneeighty,sin-oneeighty-4Hz-ep15.wav,180,ep,3,2.31398785580677,23621.9311249602
3,2,11,1107.avi,zero,sin-zero-4Hz-guitar5.wav,0,guitar,2,1.77587372215203,23630.3411645201
3,2,12,1173.avi,oneeighty,sin-oneeighty-4Hz-orch22.wav,180,orch,1,1.69012480774472,23636.8188133831
3,2,13,1122.avi,oneeighty,sin-oneeighty-4Hz-guitar22.wav,180,guitar,5,1.94104558373147,23644.6957745884
3,2,14,1148.avi,zero,sin-zero-4Hz-orch2.wav,0,orch,5,2.54405038797631,23652.9726754199
3,2,15,1096.avi,oneeighty,sin-oneeighty-4Hz-ep22.wav,180,ep,2,1.93121552089724,23661.6893834174
3,2,16,1022.avi,zero,sin-zero-4Hz-dar11.wav,0,dar,4,1.55291567741733,23669.819548736
