trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,p1-sin-37.5Hz-ninety.avi,twoseventy,sin-twoseventy-p1.wav,Gamma,270,practice
2,p2-sin-37.5Hz-ninety.avi,oneeighty,sin-oneeighty-p2.wav,Gamma,180,practice
3,p3-sin-37.5Hz-ninety.avi,ninety,sin-ninety-p3.wav,Gamma,90,practice
4,p4-sin-37.5Hz-ninety.avi,zero,sin-zero-p4.wav,Gamma,0,practice
