respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
4,5,1,1093.avi,oneeighty,sin-oneeighty-4Hz-dar24.wav,180,dar,4,2.98191521957415,17345.5179780691
4,5,2,1038.avi,oneeighty,sin-oneeighty-4Hz-choir16.wav,180,choir,5,1.06512350290723,17354.4347284294
4,5,3,1003.avi,zero,sin-zero-4Hz-choir4.wav,0,choir,2,1.29674930381225,17360.6990175613
4,5,4,1107.avi,zero,sin-zero-4Hz-orch5.wav,0,orch,2,0.917534922682535,17366.5102064042
4,5,5,1045.avi,oneeighty,sin-oneeighty-4Hz-choir21.wav,180,choir,3,0.356998800063593,17372.6146443584
4,5,6,1183.avi,oneeighty,sin-oneeighty-4Hz-synth23.wav,180,synth,2,2.22018248092354,17377.5194053144
4,5,7,1100.avi,zero,sin-zero-4Hz-orch3.wav,0,orch,4,0.959307206412632,17385.8762691782
4,5,8,1121.avi,oneeighty,sin-oneeighty-4Hz-orch24.wav,180,orch,3,2.02835684152524,17392.4871326043
4,5,9,1189.avi,oneeighty,sin-oneeighty-4Hz-synth22.wav,180,synth,3,0.97265352019167,17400.6707410175
4,5,10,1017.avi,zero,sin-zero-4Hz-choir5.wav,0,choir,4,1.33789097934277,17407.5614589418
4,5,11,1145.avi,zero,sin-zero-4Hz-synth10.wav,0,synth,1,1.180647965768,17415.2386216577
4,5,12,1134.avi,oneeighty,sin-oneeighty-4Hz-orch23.wav,180,orch,5,1.21502290445278,17421.5961710702
4,5,13,1146.avi,zero,sin-zero-4Hz-synth6.wav,0,synth,3,1.48653701313742,17427.7405727999
4,5,14,1078.avi,oneeighty,sin-oneeighty-4Hz-dar18.wav,180,dar,2,1.01427215165677,17434.4448166512
4,5,15,1054.avi,zero,sin-zero-4Hz-dar11.wav,0,dar,3,0.30705517444585,17440.0159599116
4,5,16,1063.avi,zero,sin-zero-4Hz-dar1.wav,0,dar,2,1.56825043205026,17446.8267077211
