respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
5,6,1,1161.avi,zero,sin-zero-4Hz-dar6.wav,0,dar,2,2.70800184141262,26915.911338118
5,6,2,1176.avi,oneeighty,sin-oneeighty-4Hz-dar15.wav,180,dar,2,1.44713683050941,26924.5081582105
5,6,3,1115.avi,zero,sin-zero-4Hz-choir12.wav,0,choir,3,1.08188276845976,26932.1053000974
5,6,4,1027.avi,oneeighty,sin-oneeighty-4Hz-yann14.wav,180,yann,4,1.84978061536458,26938.8093739953
5,6,5,1090.avi,oneeighty,sin-oneeighty-4Hz-acoustic23.wav,180,acoustic,5,0.436096508106857,26945.6069354827
5,6,6,1069.avi,zero,sin-zero-4Hz-acoustic12.wav,0,acoustic,4,2.28662032949069,26952.4043342616
5,6,7,1042.avi,oneeighty,sin-oneeighty-4Hz-yann18.wav,180,yann,3,0.502812379723764,26960.0681168542
5,6,8,1110.avi,zero,sin-zero-4Hz-choir5.wav,0,choir,2,0.425049544555804,26966.4258021086
5,6,9,1184.avi,oneeighty,sin-oneeighty-4Hz-dar20.wav,180,dar,3,1.17686733531082,26972.7699541911
5,6,10,1138.avi,oneeighty,sin-oneeighty-4Hz-choir21.wav,180,choir,2,1.38481257593958,26980.0339523195
5,6,11,1166.avi,zero,sin-zero-4Hz-dar10.wav,0,dar,2,0.65956243821347,26987.5911080924
5,6,12,1131.avi,oneeighty,sin-oneeighty-4Hz-choir17.wav,180,choir,3,1.57095640230546,26993.0956827941
5,6,13,1065.avi,zero,sin-zero-4Hz-acoustic1.wav,0,acoustic,4,0.330362924221845,26999.2401699533
5,6,14,1016.avi,zero,sin-zero-4Hz-yann9.wav,0,yann,3,1.53535194367214,27005.4110976779
5,6,15,1019.avi,zero,sin-zero-4Hz-yann3.wav,0,yann,5,0.754240002417646,27013.1281728512
5,6,16,1094.avi,oneeighty,sin-oneeighty-4Hz-acoustic16.wav,180,acoustic,4,1.04741757039301,27020.0589460179
