trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1026.avi","oneeighty","sin-oneeighty-4Hz-dar13.wav","Theta",180,"dar"
2,"1042.avi","oneeighty","sin-oneeighty-4Hz-dar20.wav","Theta",180,"dar"
3,"1090.avi","oneeighty","sin-oneeighty-4Hz-ep15.wav","Theta",180,"ep"
4,"1001.avi","zero","sin-zero-4Hz-dar2.wav","Theta",0,"dar"
5,"1176.avi","oneeighty","sin-oneeighty-4Hz-orch14.wav","Theta",180,"orch"
6,"1154.avi","zero","sin-zero-4Hz-orch10.wav","Theta",0,"orch"
7,"1108.avi","zero","sin-zero-4Hz-guitar6.wav","Theta",0,"guitar"
8,"1095.avi","oneeighty","sin-oneeighty-4Hz-ep20.wav","Theta",180,"ep"
9,"1138.avi","oneeighty","sin-oneeighty-4Hz-guitar13.wav","Theta",180,"guitar"
10,"1153.avi","zero","sin-zero-4Hz-orch4.wav","Theta",0,"orch"
11,"1171.avi","oneeighty","sin-oneeighty-4Hz-orch22.wav","Theta",180,"orch"
12,"1103.avi","zero","sin-zero-4Hz-guitar3.wav","Theta",0,"guitar"
13,"1051.avi","zero","sin-zero-4Hz-ep9.wav","Theta",0,"ep"
14,"1058.avi","zero","sin-zero-4Hz-ep4.wav","Theta",0,"ep"
15,"1125.avi","oneeighty","sin-oneeighty-4Hz-guitar14.wav","Theta",180,"guitar"
16,"1021.avi","zero","sin-zero-4Hz-dar4.wav","Theta",0,"dar"
