trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1129-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth2.wav","Gamma",270,"synth"
2,"1160-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann9.wav","Theta",0,"yann"
3,"1127-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth24.wav","Gamma",180,"synth"
4,"1161-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann8.wav","Theta",0,"yann"
5,"1121-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth12.wav","Gamma",180,"synth"
6,"1120-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch6.wav","Gamma",90,"orch"
7,"1097-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch18.wav","Gamma",90,"orch"
8,"1104-sin-37.5Hz-ninety.avi","zero","sin-zero-orch19.wav","Gamma",0,"orch"
9,"1143-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth4.wav","Gamma",270,"synth"
10,"1117-sin-37.5Hz-ninety.avi","zero","sin-zero-orch21.wav","Gamma",0,"orch"
11,"1166-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann16.wav","Theta",180,"yann"
12,"1162-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann15.wav","Theta",180,"yann"
