trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1041.avi","oneeighty","sin-oneeighty-4Hz-dar22.wav","Theta",180,"dar"
2,"1119.avi","zero","sin-zero-4Hz-guitar12.wav","Theta",0,"guitar"
3,"1127.avi","oneeighty","sin-oneeighty-4Hz-guitar20.wav","Theta",180,"guitar"
4,"1188.avi","oneeighty","sin-oneeighty-4Hz-orch21.wav","Theta",180,"orch"
5,"1001.avi","zero","sin-zero-4Hz-dar1.wav","Theta",0,"dar"
6,"1167.avi","zero","sin-zero-4Hz-orch5.wav","Theta",0,"orch"
7,"1020.avi","zero","sin-zero-4Hz-dar11.wav","Theta",0,"dar"
8,"1066.avi","zero","sin-zero-4Hz-ep3.wav","Theta",0,"ep"
9,"1089.avi","oneeighty","sin-oneeighty-4Hz-ep15.wav","Theta",180,"ep"
10,"1192.avi","oneeighty","sin-oneeighty-4Hz-orch20.wav","Theta",180,"orch"
11,"1118.avi","zero","sin-zero-4Hz-guitar2.wav","Theta",0,"guitar"
12,"1160.avi","zero","sin-zero-4Hz-orch8.wav","Theta",0,"orch"
13,"1060.avi","zero","sin-zero-4Hz-ep2.wav","Theta",0,"ep"
14,"1047.avi","oneeighty","sin-oneeighty-4Hz-dar20.wav","Theta",180,"dar"
15,"1133.avi","oneeighty","sin-oneeighty-4Hz-guitar18.wav","Theta",180,"guitar"
16,"1090.avi","oneeighty","sin-oneeighty-4Hz-ep24.wav","Theta",180,"ep"
