trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1095.avi","oneeighty","sin-oneeighty-4Hz-dar18.wav","Theta",180,"dar"
2,"1045.avi","oneeighty","sin-oneeighty-4Hz-choir24.wav","Theta",180,"choir"
3,"1015.avi","zero","sin-zero-4Hz-choir6.wav","Theta",0,"choir"
4,"1138.avi","oneeighty","sin-oneeighty-4Hz-ep19.wav","Theta",180,"ep"
5,"1064.avi","zero","sin-zero-4Hz-dar6.wav","Theta",0,"dar"
6,"1017.avi","zero","sin-zero-4Hz-choir5.wav","Theta",0,"choir"
7,"1182.avi","oneeighty","sin-oneeighty-4Hz-guitar19.wav","Theta",180,"guitar"
8,"1033.avi","oneeighty","sin-oneeighty-4Hz-choir23.wav","Theta",180,"choir"
9,"1103.avi","zero","sin-zero-4Hz-ep5.wav","Theta",0,"ep"
10,"1152.avi","zero","sin-zero-4Hz-guitar1.wav","Theta",0,"guitar"
11,"1065.avi","zero","sin-zero-4Hz-dar12.wav","Theta",0,"dar"
12,"1172.avi","oneeighty","sin-oneeighty-4Hz-guitar15.wav","Theta",180,"guitar"
13,"1144.avi","oneeighty","sin-oneeighty-4Hz-ep21.wav","Theta",180,"ep"
14,"1116.avi","zero","sin-zero-4Hz-ep4.wav","Theta",0,"ep"
15,"1157.avi","zero","sin-zero-4Hz-guitar10.wav","Theta",0,"guitar"
16,"1087.avi","oneeighty","sin-oneeighty-4Hz-dar19.wav","Theta",180,"dar"
