trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1055.avi","zero","sin-zero-4Hz-ep8.wav","Theta",0,"ep"
2,"1051.avi","zero","sin-zero-4Hz-ep12.wav","Theta",0,"ep"
3,"1021.avi","zero","sin-zero-4Hz-dar10.wav","Theta",0,"dar"
4,"1155.avi","zero","sin-zero-4Hz-yann4.wav","Theta",0,"yann"
5,"1141.avi","oneeighty","sin-oneeighty-4Hz-synth23.wav","Theta",180,"synth"
6,"1079.avi","oneeighty","sin-oneeighty-4Hz-ep22.wav","Theta",180,"ep"
7,"1170.avi","oneeighty","sin-oneeighty-4Hz-yann20.wav","Theta",180,"yann"
8,"1086.avi","oneeighty","sin-oneeighty-4Hz-ep17.wav","Theta",180,"ep"
9,"1008.avi","zero","sin-zero-4Hz-dar2.wav","Theta",0,"dar"
10,"1147.avi","zero","sin-zero-4Hz-yann6.wav","Theta",0,"yann"
11,"1175.avi","oneeighty","sin-oneeighty-4Hz-yann21.wav","Theta",180,"yann"
12,"1109.avi","zero","sin-zero-4Hz-synth9.wav","Theta",0,"synth"
13,"1026.avi","oneeighty","sin-oneeighty-4Hz-dar14.wav","Theta",180,"dar"
14,"1038.avi","oneeighty","sin-oneeighty-4Hz-dar15.wav","Theta",180,"dar"
15,"1101.avi","zero","sin-zero-4Hz-synth11.wav","Theta",0,"synth"
16,"1140.avi","oneeighty","sin-oneeighty-4Hz-synth21.wav","Theta",180,"synth"
