trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1082.avi","oneeighty","sin-oneeighty-4Hz-ep14.wav","Theta",180,"ep"
2,"1073.avi","oneeighty","sin-oneeighty-4Hz-ep16.wav","Theta",180,"ep"
3,"1140.avi","oneeighty","sin-oneeighty-4Hz-synth15.wav","Theta",180,"synth"
4,"1190.avi","oneeighty","sin-oneeighty-4Hz-yann19.wav","Theta",180,"yann"
5,"1022.avi","zero","sin-zero-4Hz-dar9.wav","Theta",0,"dar"
6,"1141.avi","oneeighty","sin-oneeighty-4Hz-synth24.wav","Theta",180,"synth"
7,"1040.avi","oneeighty","sin-oneeighty-4Hz-dar17.wav","Theta",180,"dar"
8,"1029.avi","oneeighty","sin-oneeighty-4Hz-dar21.wav","Theta",180,"dar"
9,"1055.avi","zero","sin-zero-4Hz-ep8.wav","Theta",0,"ep"
10,"1153.avi","zero","sin-zero-4Hz-yann5.wav","Theta",0,"yann"
11,"1186.avi","oneeighty","sin-oneeighty-4Hz-yann23.wav","Theta",180,"yann"
12,"1108.avi","zero","sin-zero-4Hz-synth12.wav","Theta",0,"synth"
13,"1163.avi","zero","sin-zero-4Hz-yann11.wav","Theta",0,"yann"
14,"1023.avi","zero","sin-zero-4Hz-dar1.wav","Theta",0,"dar"
15,"1102.avi","zero","sin-zero-4Hz-synth4.wav","Theta",0,"synth"
16,"1067.avi","zero","sin-zero-4Hz-ep12.wav","Theta",0,"ep"
