trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1187.avi","oneeighty","sin-oneeighty-4Hz-choir17.wav","Theta",180,"choir"
2,"1192.avi","oneeighty","sin-oneeighty-4Hz-choir19.wav","Theta",180,"choir"
3,"1033.avi","oneeighty","sin-oneeighty-4Hz-synth19.wav","Theta",180,"synth"
4,"1121.avi","oneeighty","sin-oneeighty-4Hz-acoustic14.wav","Theta",180,"acoustic"
5,"1089.avi","oneeighty","sin-oneeighty-4Hz-yann22.wav","Theta",180,"yann"
6,"1062.avi","zero","sin-zero-4Hz-yann6.wav","Theta",0,"yann"
7,"1159.avi","zero","sin-zero-4Hz-choir5.wav","Theta",0,"choir"
8,"1004.avi","zero","sin-zero-4Hz-synth6.wav","Theta",0,"synth"
9,"1168.avi","zero","sin-zero-4Hz-choir10.wav","Theta",0,"choir"
10,"1113.avi","zero","sin-zero-4Hz-acoustic5.wav","Theta",0,"acoustic"
11,"1042.avi","oneeighty","sin-oneeighty-4Hz-synth23.wav","Theta",180,"synth"
12,"1114.avi","zero","sin-zero-4Hz-acoustic8.wav","Theta",0,"acoustic"
13,"1133.avi","oneeighty","sin-oneeighty-4Hz-acoustic24.wav","Theta",180,"acoustic"
14,"1054.avi","zero","sin-zero-4Hz-yann3.wav","Theta",0,"yann"
15,"1012.avi","zero","sin-zero-4Hz-synth8.wav","Theta",0,"synth"
16,"1095.avi","oneeighty","sin-oneeighty-4Hz-yann20.wav","Theta",180,"yann"
