trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1168.avi","zero","sin-zero-4Hz-choir10.wav","Theta",0,"choir","1159.avi","1192.avi","1187.avi","1168.avi",4
2,"1121.avi","oneeighty","sin-oneeighty-4Hz-acoustic14.wav","Theta",180,"acoustic","1121.avi","1113.avi","1133.avi","1114.avi",1
3,"1159.avi","zero","sin-zero-4Hz-choir5.wav","Theta",0,"choir","1159.avi","1192.avi","1168.avi","1187.avi",1
4,"1062.avi","zero","sin-zero-4Hz-yann6.wav","Theta",0,"yann","1062.avi","1054.avi","1095.avi","1089.avi",1
5,"1054.avi","zero","sin-zero-4Hz-yann3.wav","Theta",0,"yann","1054.avi","1089.avi","1095.avi","1062.avi",1
6,"1114.avi","zero","sin-zero-4Hz-acoustic8.wav","Theta",0,"acoustic","1114.avi","1121.avi","1113.avi","1133.avi",1
7,"1004.avi","zero","sin-zero-4Hz-synth6.wav","Theta",0,"synth","1033.avi","1004.avi","1042.avi","1012.avi",2
8,"1187.avi","oneeighty","sin-oneeighty-4Hz-choir17.wav","Theta",180,"choir","1159.avi","1187.avi","1192.avi","1168.avi",2
9,"1113.avi","zero","sin-zero-4Hz-acoustic5.wav","Theta",0,"acoustic","1133.avi","1121.avi","1113.avi","1114.avi",3
10,"1089.avi","oneeighty","sin-oneeighty-4Hz-yann22.wav","Theta",180,"yann","1062.avi","1054.avi","1095.avi","1089.avi",4
11,"1095.avi","oneeighty","sin-oneeighty-4Hz-yann20.wav","Theta",180,"yann","1062.avi","1054.avi","1089.avi","1095.avi",4
12,"1133.avi","oneeighty","sin-oneeighty-4Hz-acoustic24.wav","Theta",180,"acoustic","1113.avi","1121.avi","1133.avi","1114.avi",3
13,"1192.avi","oneeighty","sin-oneeighty-4Hz-choir19.wav","Theta",180,"choir","1159.avi","1192.avi","1168.avi","1187.avi",2
14,"1012.avi","zero","sin-zero-4Hz-synth8.wav","Theta",0,"synth","1004.avi","1042.avi","1033.avi","1012.avi",4
15,"1042.avi","oneeighty","sin-oneeighty-4Hz-synth23.wav","Theta",180,"synth","1033.avi","1042.avi","1004.avi","1012.avi",2
16,"1033.avi","oneeighty","sin-oneeighty-4Hz-synth19.wav","Theta",180,"synth","1012.avi","1004.avi","1033.avi","1042.avi",3
