trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1022.avi","zero","sin-zero-4Hz-dar9.wav","Theta",0,"dar","1040.avi","1023.avi","1022.avi","1029.avi",3
2,"1067.avi","zero","sin-zero-4Hz-ep12.wav","Theta",0,"ep","1073.avi","1067.avi","1055.avi","1082.avi",2
3,"1040.avi","oneeighty","sin-oneeighty-4Hz-dar17.wav","Theta",180,"dar","1023.avi","1022.avi","1040.avi","1029.avi",3
4,"1023.avi","zero","sin-zero-4Hz-dar1.wav","Theta",0,"dar","1040.avi","1022.avi","1029.avi","1023.avi",4
5,"1153.avi","zero","sin-zero-4Hz-yann5.wav","Theta",0,"yann","1153.avi","1163.avi","1186.avi","1190.avi",1
6,"1108.avi","zero","sin-zero-4Hz-synth12.wav","Theta",0,"synth","1102.avi","1141.avi","1108.avi","1140.avi",3
7,"1055.avi","zero","sin-zero-4Hz-ep8.wav","Theta",0,"ep","1067.avi","1055.avi","1073.avi","1082.avi",2
8,"1163.avi","zero","sin-zero-4Hz-yann11.wav","Theta",0,"yann","1153.avi","1186.avi","1163.avi","1190.avi",3
9,"1140.avi","oneeighty","sin-oneeighty-4Hz-synth15.wav","Theta",180,"synth","1140.avi","1108.avi","1141.avi","1102.avi",1
10,"1073.avi","oneeighty","sin-oneeighty-4Hz-ep16.wav","Theta",180,"ep","1073.avi","1055.avi","1082.avi","1067.avi",1
11,"1102.avi","zero","sin-zero-4Hz-synth4.wav","Theta",0,"synth","1140.avi","1141.avi","1108.avi","1102.avi",4
12,"1190.avi","oneeighty","sin-oneeighty-4Hz-yann19.wav","Theta",180,"yann","1153.avi","1190.avi","1163.avi","1186.avi",2
13,"1082.avi","oneeighty","sin-oneeighty-4Hz-ep14.wav","Theta",180,"ep","1082.avi","1073.avi","1055.avi","1067.avi",1
14,"1186.avi","oneeighty","sin-oneeighty-4Hz-yann23.wav","Theta",180,"yann","1163.avi","1186.avi","1190.avi","1153.avi",2
15,"1029.avi","oneeighty","sin-oneeighty-4Hz-dar21.wav","Theta",180,"dar","1023.avi","1040.avi","1022.avi","1029.avi",4
16,"1141.avi","oneeighty","sin-oneeighty-4Hz-synth24.wav","Theta",180,"synth","1102.avi","1141.avi","1108.avi","1140.avi",2
