trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1037-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-orch20.wav","Theta",180,"orch"
2,"1002-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-guitar4.wav","Gamma",180,"guitar"
3,"1178-sin-37.5Hz-ninety.avi","zero","sin-zero-ep6.wav","Gamma",0,"ep"
4,"1020-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-guitar8.wav","Gamma",270,"guitar"
5,"1030-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-orch22.wav","Theta",180,"orch"
6,"1016-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-guitar2.wav","Gamma",180,"guitar"
7,"1041-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-orch13.wav","Theta",0,"orch"
8,"1175-sin-37.5Hz-ninety.avi","zero","sin-zero-ep18.wav","Gamma",0,"ep"
9,"1188-sin-37.5Hz-ninety.avi","ninety","sin-ninety-ep12.wav","Gamma",90,"ep"
10,"1017-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-guitar10.wav","Gamma",270,"guitar"
11,"1028-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-orch14.wav","Theta",0,"orch"
12,"1174-sin-37.5Hz-ninety.avi","ninety","sin-ninety-ep11.wav","Gamma",90,"ep"
