trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1033.avi","oneeighty","sin-oneeighty-4Hz-acoustic20.wav","Theta",180,"acoustic","1034.avi","1013.avi","1033.avi","1016.avi",3
2,"1066.avi","zero","sin-zero-4Hz-choir3.wav","Theta",0,"choir","1086.avi","1096.avi","1066.avi","1052.avi",3
3,"1052.avi","zero","sin-zero-4Hz-choir8.wav","Theta",0,"choir","1052.avi","1086.avi","1096.avi","1066.avi",1
4,"1174.avi","oneeighty","sin-oneeighty-4Hz-orch17.wav","Theta",180,"orch","1174.avi","1147.avi","1181.avi","1161.avi",1
5,"1096.avi","oneeighty","sin-oneeighty-4Hz-choir23.wav","Theta",180,"choir","1066.avi","1052.avi","1086.avi","1096.avi",4
6,"1161.avi","zero","sin-zero-4Hz-orch11.wav","Theta",0,"orch","1161.avi","1174.avi","1181.avi","1147.avi",1
7,"1034.avi","oneeighty","sin-oneeighty-4Hz-acoustic14.wav","Theta",180,"acoustic","1033.avi","1034.avi","1013.avi","1016.avi",2
8,"1127.avi","oneeighty","sin-oneeighty-4Hz-guitar20.wav","Theta",180,"guitar","1112.avi","1104.avi","1124.avi","1127.avi",4
9,"1112.avi","zero","sin-zero-4Hz-guitar9.wav","Theta",0,"guitar","1104.avi","1112.avi","1127.avi","1124.avi",2
10,"1104.avi","zero","sin-zero-4Hz-guitar11.wav","Theta",0,"guitar","1124.avi","1104.avi","1127.avi","1112.avi",2
11,"1086.avi","oneeighty","sin-oneeighty-4Hz-choir15.wav","Theta",180,"choir","1052.avi","1096.avi","1086.avi","1066.avi",3
12,"1181.avi","oneeighty","sin-oneeighty-4Hz-orch22.wav","Theta",180,"orch","1174.avi","1181.avi","1147.avi","1161.avi",2
13,"1013.avi","zero","sin-zero-4Hz-acoustic10.wav","Theta",0,"acoustic","1013.avi","1033.avi","1034.avi","1016.avi",1
14,"1016.avi","zero","sin-zero-4Hz-acoustic4.wav","Theta",0,"acoustic","1034.avi","1033.avi","1013.avi","1016.avi",4
15,"1147.avi","zero","sin-zero-4Hz-orch9.wav","Theta",0,"orch","1161.avi","1147.avi","1181.avi","1174.avi",2
16,"1124.avi","oneeighty","sin-oneeighty-4Hz-guitar24.wav","Theta",180,"guitar","1127.avi","1112.avi","1104.avi","1124.avi",4
