trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1081.avi","oneeighty","sin-oneeighty-4Hz-acoustic18.wav","Theta",180,"acoustic","1055.avi","1054.avi","1088.avi","1081.avi",4
2,"1109.avi","zero","sin-zero-4Hz-choir9.wav","Theta",0,"choir","1135.avi","1144.avi","1109.avi","1107.avi",3
3,"1023.avi","zero","sin-zero-4Hz-yann12.wav","Theta",0,"yann","1023.avi","1046.avi","1043.avi","1007.avi",1
4,"1046.avi","oneeighty","sin-oneeighty-4Hz-yann14.wav","Theta",180,"yann","1007.avi","1046.avi","1023.avi","1043.avi",2
5,"1088.avi","oneeighty","sin-oneeighty-4Hz-acoustic14.wav","Theta",180,"acoustic","1081.avi","1088.avi","1054.avi","1055.avi",2
6,"1135.avi","oneeighty","sin-oneeighty-4Hz-choir13.wav","Theta",180,"choir","1135.avi","1107.avi","1144.avi","1109.avi",1
7,"1160.avi","zero","sin-zero-4Hz-dar3.wav","Theta",0,"dar","1160.avi","1173.avi","1154.avi","1185.avi",1
8,"1055.avi","zero","sin-zero-4Hz-acoustic12.wav","Theta",0,"acoustic","1088.avi","1081.avi","1054.avi","1055.avi",4
9,"1107.avi","zero","sin-zero-4Hz-choir3.wav","Theta",0,"choir","1109.avi","1144.avi","1107.avi","1135.avi",3
10,"1173.avi","oneeighty","sin-oneeighty-4Hz-dar14.wav","Theta",180,"dar","1185.avi","1160.avi","1173.avi","1154.avi",3
11,"1043.avi","oneeighty","sin-oneeighty-4Hz-yann23.wav","Theta",180,"yann","1043.avi","1046.avi","1007.avi","1023.avi",1
12,"1007.avi","zero","sin-zero-4Hz-yann9.wav","Theta",0,"yann","1043.avi","1046.avi","1007.avi","1023.avi",3
13,"1185.avi","oneeighty","sin-oneeighty-4Hz-dar23.wav","Theta",180,"dar","1154.avi","1185.avi","1160.avi","1173.avi",2
14,"1054.avi","zero","sin-zero-4Hz-acoustic3.wav","Theta",0,"acoustic","1088.avi","1054.avi","1081.avi","1055.avi",2
15,"1144.avi","oneeighty","sin-oneeighty-4Hz-choir19.wav","Theta",180,"choir","1135.avi","1144.avi","1107.avi","1109.avi",2
16,"1154.avi","zero","sin-zero-4Hz-dar1.wav","Theta",0,"dar","1173.avi","1160.avi","1154.avi","1185.avi",3
