trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1108.avi","zero","sin-zero-4Hz-orch7.wav","Theta",0,"orch","1140.avi","1108.avi","1142.avi","1118.avi",2
2,"1178.avi","oneeighty","sin-oneeighty-4Hz-synth16.wav","Theta",180,"synth","1151.avi","1184.avi","1163.avi","1178.avi",4
3,"1058.avi","zero","sin-zero-4Hz-guitar8.wav","Theta",0,"guitar","1069.avi","1082.avi","1058.avi","1096.avi",3
4,"1140.avi","oneeighty","sin-oneeighty-4Hz-orch23.wav","Theta",180,"orch","1142.avi","1118.avi","1140.avi","1108.avi",3
5,"1118.avi","zero","sin-zero-4Hz-orch4.wav","Theta",0,"orch","1140.avi","1108.avi","1142.avi","1118.avi",4
6,"1020.avi","zero","sin-zero-4Hz-ep11.wav","Theta",0,"ep","1026.avi","1020.avi","1003.avi","1042.avi",2
7,"1151.avi","zero","sin-zero-4Hz-synth10.wav","Theta",0,"synth","1184.avi","1178.avi","1151.avi","1163.avi",3
8,"1163.avi","zero","sin-zero-4Hz-synth6.wav","Theta",0,"synth","1184.avi","1178.avi","1151.avi","1163.avi",4
9,"1042.avi","oneeighty","sin-oneeighty-4Hz-ep17.wav","Theta",180,"ep","1026.avi","1042.avi","1003.avi","1020.avi",2
10,"1069.avi","zero","sin-zero-4Hz-guitar7.wav","Theta",0,"guitar","1069.avi","1058.avi","1082.avi","1096.avi",1
11,"1003.avi","zero","sin-zero-4Hz-ep5.wav","Theta",0,"ep","1020.avi","1026.avi","1003.avi","1042.avi",3
12,"1026.avi","oneeighty","sin-oneeighty-4Hz-ep13.wav","Theta",180,"ep","1003.avi","1042.avi","1020.avi","1026.avi",4
13,"1142.avi","oneeighty","sin-oneeighty-4Hz-orch22.wav","Theta",180,"orch","1118.avi","1140.avi","1142.avi","1108.avi",3
14,"1096.avi","oneeighty","sin-oneeighty-4Hz-guitar22.wav","Theta",180,"guitar","1082.avi","1096.avi","1069.avi","1058.avi",2
15,"1184.avi","oneeighty","sin-oneeighty-4Hz-synth18.wav","Theta",180,"synth","1178.avi","1184.avi","1151.avi","1163.avi",2
16,"1082.avi","oneeighty","sin-oneeighty-4Hz-guitar19.wav","Theta",180,"guitar","1058.avi","1069.avi","1082.avi","1096.avi",3
