trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1024.avi","zero","sin-zero-4Hz-synth2.wav","Theta",0,"synth"
2,"1011.avi","zero","sin-zero-4Hz-synth9.wav","Theta",0,"synth"
3,"1071.avi","zero","sin-zero-4Hz-yann1.wav","Theta",0,"yann"
4,"1027.avi","oneeighty","sin-oneeighty-4Hz-synth13.wav","Theta",180,"synth"
5,"1167.avi","zero","sin-zero-4Hz-choir10.wav","Theta",0,"choir"
6,"1117.avi","zero","sin-zero-4Hz-acoustic7.wav","Theta",0,"acoustic"
7,"1131.avi","oneeighty","sin-oneeighty-4Hz-acoustic16.wav","Theta",180,"acoustic"
8,"1075.avi","oneeighty","sin-oneeighty-4Hz-yann17.wav","Theta",180,"yann"
9,"1137.avi","oneeighty","sin-oneeighty-4Hz-acoustic24.wav","Theta",180,"acoustic"
10,"1035.avi","oneeighty","sin-oneeighty-4Hz-synth17.wav","Theta",180,"synth"
11,"1191.avi","oneeighty","sin-oneeighty-4Hz-choir16.wav","Theta",180,"choir"
12,"1111.avi","zero","sin-zero-4Hz-acoustic9.wav","Theta",0,"acoustic"
13,"1180.avi","oneeighty","sin-oneeighty-4Hz-choir23.wav","Theta",180,"choir"
14,"1090.avi","oneeighty","sin-oneeighty-4Hz-yann21.wav","Theta",180,"yann"
15,"1056.avi","zero","sin-zero-4Hz-yann11.wav","Theta",0,"yann"
16,"1168.avi","zero","sin-zero-4Hz-choir12.wav","Theta",0,"choir"
