trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1128.avi","oneeighty","sin-oneeighty-4Hz-orch24.wav","Theta",180,"orch"
2,"1059.avi","zero","sin-zero-4Hz-dar7.wav","Theta",0,"dar"
3,"1081.avi","oneeighty","sin-oneeighty-4Hz-dar15.wav","Theta",180,"dar"
4,"1004.avi","zero","sin-zero-4Hz-choir7.wav","Theta",0,"choir"
5,"1113.avi","zero","sin-zero-4Hz-orch9.wav","Theta",0,"orch"
6,"1134.avi","oneeighty","sin-oneeighty-4Hz-orch20.wav","Theta",180,"orch"
7,"1188.avi","oneeighty","sin-oneeighty-4Hz-synth17.wav","Theta",180,"synth"
8,"1053.avi","zero","sin-zero-4Hz-dar12.wav","Theta",0,"dar"
9,"1074.avi","oneeighty","sin-oneeighty-4Hz-dar18.wav","Theta",180,"dar"
10,"1163.avi","zero","sin-zero-4Hz-synth7.wav","Theta",0,"synth"
11,"1036.avi","oneeighty","sin-oneeighty-4Hz-choir18.wav","Theta",180,"choir"
12,"1175.avi","oneeighty","sin-oneeighty-4Hz-synth13.wav","Theta",180,"synth"
13,"1038.avi","oneeighty","sin-oneeighty-4Hz-choir16.wav","Theta",180,"choir"
14,"1002.avi","zero","sin-zero-4Hz-choir9.wav","Theta",0,"choir"
15,"1114.avi","zero","sin-zero-4Hz-orch1.wav","Theta",0,"orch"
16,"1147.avi","zero","sin-zero-4Hz-synth11.wav","Theta",0,"synth"
