trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1162.avi","zero","sin-zero-4Hz-dar3.wav","Theta",0,"dar"
2,"1176.avi","oneeighty","sin-oneeighty-4Hz-dar21.wav","Theta",180,"dar"
3,"1170.avi","oneeighty","sin-oneeighty-4Hz-dar24.wav","Theta",180,"dar"
4,"1027.avi","oneeighty","sin-oneeighty-4Hz-yann15.wav","Theta",180,"yann"
5,"1123.avi","oneeighty","sin-oneeighty-4Hz-choir20.wav","Theta",180,"choir"
6,"1068.avi","zero","sin-zero-4Hz-acoustic7.wav","Theta",0,"acoustic"
7,"1013.avi","zero","sin-zero-4Hz-yann3.wav","Theta",0,"yann"
8,"1119.avi","zero","sin-zero-4Hz-choir3.wav","Theta",0,"choir"
9,"1084.avi","oneeighty","sin-oneeighty-4Hz-acoustic16.wav","Theta",180,"acoustic"
10,"1017.avi","zero","sin-zero-4Hz-yann5.wav","Theta",0,"yann"
11,"1143.avi","oneeighty","sin-oneeighty-4Hz-choir15.wav","Theta",180,"choir"
12,"1108.avi","zero","sin-zero-4Hz-choir11.wav","Theta",0,"choir"
13,"1064.avi","zero","sin-zero-4Hz-acoustic3.wav","Theta",0,"acoustic"
14,"1079.avi","oneeighty","sin-oneeighty-4Hz-acoustic17.wav","Theta",180,"acoustic"
15,"1041.avi","oneeighty","sin-oneeighty-4Hz-yann20.wav","Theta",180,"yann"
16,"1167.avi","zero","sin-zero-4Hz-dar2.wav","Theta",0,"dar"
