trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1160-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth21.wav","Gamma",270,"synth"
2,"1192-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann18.wav","Theta",0,"yann"
3,"1139-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch9.wav","Gamma",90,"orch"
4,"1166-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth19.wav","Gamma",270,"synth"
5,"1153-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth14.wav","Gamma",180,"synth"
6,"1121-sin-37.5Hz-ninety.avi","zero","sin-zero-orch1.wav","Gamma",0,"orch"
7,"1145-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth13.wav","Gamma",180,"synth"
8,"1140-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch7.wav","Gamma",90,"orch"
9,"1187-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann11.wav","Theta",180,"yann"
10,"1190-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann24.wav","Theta",180,"yann"
11,"1141-sin-37.5Hz-ninety.avi","zero","sin-zero-orch4.wav","Gamma",0,"orch"
12,"1173-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann5.wav","Theta",0,"yann"
