trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1017-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-choir16.wav","Gamma",270,"choir"
2,"1039-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-dar17.wav","Theta",180,"dar"
3,"1174-sin-37.5Hz-ninety.avi","zero","sin-zero-acoustic11.wav","Gamma",0,"acoustic"
4,"1023-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-choir8.wav","Gamma",180,"choir"
5,"1035-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-dar20.wav","Theta",0,"dar"
6,"1189-sin-37.5Hz-ninety.avi","ninety","sin-ninety-acoustic3.wav","Gamma",90,"acoustic"
7,"1182-sin-37.5Hz-ninety.avi","ninety","sin-ninety-acoustic4.wav","Gamma",90,"acoustic"
8,"1046-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-dar5.wav","Theta",180,"dar"
9,"1003-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-choir7.wav","Gamma",180,"choir"
10,"1004-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-choir15.wav","Gamma",270,"choir"
11,"1026-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-dar19.wav","Theta",0,"dar"
12,"1170-sin-37.5Hz-ninety.avi","zero","sin-zero-acoustic24.wav","Gamma",0,"acoustic"
