trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1054-sin-37.5Hz-ninety.avi","zero","sin-zero-ep11.wav","Gamma",0,"ep"
2,"1093-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-guitar14.wav","Gamma",270,"guitar"
3,"1117-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-orch19.wav","Theta",0,"orch"
4,"1114-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-orch20.wav","Theta",0,"orch"
5,"1059-sin-37.5Hz-ninety.avi","zero","sin-zero-ep12.wav","Gamma",0,"ep"
6,"1053-sin-37.5Hz-ninety.avi","ninety","sin-ninety-ep1.wav","Gamma",90,"ep"
7,"1083-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-guitar9.wav","Gamma",180,"guitar"
8,"1105-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-orch18.wav","Theta",180,"orch"
9,"1086-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-guitar13.wav","Gamma",270,"guitar"
10,"1091-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-guitar8.wav","Gamma",180,"guitar"
11,"1098-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-orch5.wav","Theta",180,"orch"
12,"1051-sin-37.5Hz-ninety.avi","ninety","sin-ninety-ep2.wav","Gamma",90,"ep"
