trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1014-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-choir9.wav","Gamma",180,"choir"
2,"1025-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-dar21.wav","Theta",0,"dar"
3,"1032-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-dar22.wav","Theta",0,"dar"
4,"1187-sin-37.5Hz-ninety.avi","zero","sin-zero-acoustic12.wav","Gamma",0,"acoustic"
5,"1030-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-dar18.wav","Theta",180,"dar"
6,"1007-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-choir13.wav","Gamma",270,"choir"
7,"1191-sin-37.5Hz-ninety.avi","ninety","sin-ninety-acoustic2.wav","Gamma",90,"acoustic"
8,"1019-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-choir10.wav","Gamma",180,"choir"
9,"1185-sin-37.5Hz-ninety.avi","ninety","sin-ninety-acoustic1.wav","Gamma",90,"acoustic"
10,"1034-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-dar6.wav","Theta",180,"dar"
11,"1005-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-choir14.wav","Gamma",270,"choir"
12,"1186-sin-37.5Hz-ninety.avi","zero","sin-zero-acoustic23.wav","Gamma",0,"acoustic"
