trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1001.avi","zero","sin-zero-4Hz-acoustic1.wav","Theta",0,"acoustic","1013.avi","1036.avi","1001.avi","1047.avi",3
2,"1130.avi","oneeighty","sin-oneeighty-4Hz-guitar16.wav","Theta",180,"guitar","1102.avi","1109.avi","1130.avi","1131.avi",3
3,"1164.avi","zero","sin-zero-4Hz-orch2.wav","Theta",0,"orch","1191.avi","1192.avi","1156.avi","1164.avi",4
4,"1191.avi","oneeighty","sin-oneeighty-4Hz-orch22.wav","Theta",180,"orch","1191.avi","1192.avi","1156.avi","1164.avi",1
5,"1131.avi","oneeighty","sin-oneeighty-4Hz-guitar21.wav","Theta",180,"guitar","1130.avi","1131.avi","1109.avi","1102.avi",2
6,"1047.avi","oneeighty","sin-oneeighty-4Hz-acoustic16.wav","Theta",180,"acoustic","1036.avi","1001.avi","1047.avi","1013.avi",3
7,"1102.avi","zero","sin-zero-4Hz-guitar9.wav","Theta",0,"guitar","1130.avi","1102.avi","1109.avi","1131.avi",2
8,"1085.avi","oneeighty","sin-oneeighty-4Hz-choir13.wav","Theta",180,"choir","1063.avi","1085.avi","1090.avi","1062.avi",2
9,"1036.avi","oneeighty","sin-oneeighty-4Hz-acoustic17.wav","Theta",180,"acoustic","1036.avi","1013.avi","1047.avi","1001.avi",1
10,"1013.avi","zero","sin-zero-4Hz-acoustic5.wav","Theta",0,"acoustic","1047.avi","1013.avi","1036.avi","1001.avi",2
11,"1192.avi","oneeighty","sin-oneeighty-4Hz-orch14.wav","Theta",180,"orch","1164.avi","1191.avi","1192.avi","1156.avi",3
12,"1156.avi","zero","sin-zero-4Hz-orch7.wav","Theta",0,"orch","1192.avi","1164.avi","1191.avi","1156.avi",4
13,"1090.avi","oneeighty","sin-oneeighty-4Hz-choir21.wav","Theta",180,"choir","1062.avi","1063.avi","1085.avi","1090.avi",4
14,"1062.avi","zero","sin-zero-4Hz-choir1.wav","Theta",0,"choir","1090.avi","1063.avi","1085.avi","1062.avi",4
15,"1109.avi","zero","sin-zero-4Hz-guitar6.wav","Theta",0,"guitar","1130.avi","1102.avi","1109.avi","1131.avi",3
16,"1063.avi","zero","sin-zero-4Hz-choir10.wav","Theta",0,"choir","1085.avi","1062.avi","1063.avi","1090.avi",3
