trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1180.avi","oneeighty","sin-oneeighty-4Hz-yann16.wav","Theta",180,"yann"
2,"1096.avi","oneeighty","sin-oneeighty-4Hz-orch18.wav","Theta",180,"orch"
3,"1103.avi","zero","sin-zero-4Hz-synth11.wav","Theta",0,"synth"
4,"1172.avi","oneeighty","sin-oneeighty-4Hz-yann22.wav","Theta",180,"yann"
5,"1068.avi","zero","sin-zero-4Hz-orch5.wav","Theta",0,"orch"
6,"1128.avi","oneeighty","sin-oneeighty-4Hz-synth16.wav","Theta",180,"synth"
7,"1053.avi","zero","sin-zero-4Hz-orch9.wav","Theta",0,"orch"
8,"1005.avi","zero","sin-zero-4Hz-guitar2.wav","Theta",0,"guitar"
9,"1167.avi","zero","sin-zero-4Hz-yann1.wav","Theta",0,"yann"
10,"1033.avi","oneeighty","sin-oneeighty-4Hz-guitar19.wav","Theta",180,"guitar"
11,"1140.avi","oneeighty","sin-oneeighty-4Hz-synth17.wav","Theta",180,"synth"
12,"1166.avi","zero","sin-zero-4Hz-yann2.wav","Theta",0,"yann"
13,"1030.avi","oneeighty","sin-oneeighty-4Hz-guitar24.wav","Theta",180,"guitar"
14,"1084.avi","oneeighty","sin-oneeighty-4Hz-orch17.wav","Theta",180,"orch"
15,"1006.avi","zero","sin-zero-4Hz-guitar1.wav","Theta",0,"guitar"
16,"1111.avi","zero","sin-zero-4Hz-synth1.wav","Theta",0,"synth"
