trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1067-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir4.wav","Gamma",90,"choir"
2,"1084-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar9.wav","Gamma",180,"dar"
3,"1058-sin-37.5Hz-ninety.avi","zero","sin-zero-choir12.wav","Gamma",0,"choir"
4,"1094-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar14.wav","Gamma",270,"dar"
5,"1068-sin-37.5Hz-ninety.avi","zero","sin-zero-choir24.wav","Gamma",0,"choir"
6,"1087-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar7.wav","Gamma",180,"dar"
7,"1086-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar16.wav","Gamma",270,"dar"
8,"1118-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep5.wav","Theta",180,"ep"
9,"1065-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir2.wav","Gamma",90,"choir"
10,"1106-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep20.wav","Theta",0,"ep"
11,"1114-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep17.wav","Theta",180,"ep"
12,"1101-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep22.wav","Theta",0,"ep"
