trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1073.avi","oneeighty","sin-oneeighty-4Hz-choir14.wav","Theta",180,"choir"
2,"1133.avi","oneeighty","sin-oneeighty-4Hz-guitar15.wav","Theta",180,"guitar"
3,"1020.avi","zero","sin-zero-4Hz-acoustic5.wav","Theta",0,"acoustic"
4,"1019.avi","zero","sin-zero-4Hz-acoustic4.wav","Theta",0,"acoustic"
5,"1097.avi","zero","sin-zero-4Hz-guitar5.wav","Theta",0,"guitar"
6,"1103.avi","zero","sin-zero-4Hz-guitar4.wav","Theta",0,"guitar"
7,"1184.avi","oneeighty","sin-oneeighty-4Hz-orch19.wav","Theta",180,"orch"
8,"1181.avi","oneeighty","sin-oneeighty-4Hz-orch17.wav","Theta",180,"orch"
9,"1093.avi","oneeighty","sin-oneeighty-4Hz-choir16.wav","Theta",180,"choir"
10,"1156.avi","zero","sin-zero-4Hz-orch10.wav","Theta",0,"orch"
11,"1056.avi","zero","sin-zero-4Hz-choir8.wav","Theta",0,"choir"
12,"1051.avi","zero","sin-zero-4Hz-choir9.wav","Theta",0,"choir"
13,"1161.avi","zero","sin-zero-4Hz-orch7.wav","Theta",0,"orch"
14,"1141.avi","oneeighty","sin-oneeighty-4Hz-guitar19.wav","Theta",180,"guitar"
15,"1032.avi","oneeighty","sin-oneeighty-4Hz-acoustic15.wav","Theta",180,"acoustic"
16,"1037.avi","oneeighty","sin-oneeighty-4Hz-acoustic19.wav","Theta",180,"acoustic"
