trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1098.avi","zero","sin-zero-4Hz-guitar2.wav","Theta",0,"guitar"
2,"1148.avi","zero","sin-zero-4Hz-orch12.wav","Theta",0,"orch"
3,"1101.avi","zero","sin-zero-4Hz-guitar12.wav","Theta",0,"guitar"
4,"1042.avi","oneeighty","sin-oneeighty-4Hz-dar18.wav","Theta",180,"dar"
5,"1080.avi","oneeighty","sin-oneeighty-4Hz-ep13.wav","Theta",180,"ep"
6,"1155.avi","zero","sin-zero-4Hz-orch9.wav","Theta",0,"orch"
7,"1047.avi","oneeighty","sin-oneeighty-4Hz-dar21.wav","Theta",180,"dar"
8,"1192.avi","oneeighty","sin-oneeighty-4Hz-orch18.wav","Theta",180,"orch"
9,"1135.avi","oneeighty","sin-oneeighty-4Hz-guitar21.wav","Theta",180,"guitar"
10,"1090.avi","oneeighty","sin-oneeighty-4Hz-ep20.wav","Theta",180,"ep"
11,"1018.avi","zero","sin-zero-4Hz-dar5.wav","Theta",0,"dar"
12,"1142.avi","oneeighty","sin-oneeighty-4Hz-guitar24.wav","Theta",180,"guitar"
13,"1009.avi","zero","sin-zero-4Hz-dar4.wav","Theta",0,"dar"
14,"1052.avi","zero","sin-zero-4Hz-ep11.wav","Theta",0,"ep"
15,"1173.avi","oneeighty","sin-oneeighty-4Hz-orch20.wav","Theta",180,"orch"
16,"1069.avi","zero","sin-zero-4Hz-ep5.wav","Theta",0,"ep"
