trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1152.avi","zero","sin-zero-4Hz-dar4.wav","Theta",0,"dar"
2,"1064.avi","zero","sin-zero-4Hz-acoustic11.wav","Theta",0,"acoustic"
3,"1148.avi","zero","sin-zero-4Hz-dar12.wav","Theta",0,"dar"
4,"1095.avi","oneeighty","sin-oneeighty-4Hz-acoustic23.wav","Theta",180,"acoustic"
5,"1044.avi","oneeighty","sin-oneeighty-4Hz-yann24.wav","Theta",180,"yann"
6,"1117.avi","zero","sin-zero-4Hz-choir2.wav","Theta",0,"choir"
7,"1137.avi","oneeighty","sin-oneeighty-4Hz-choir18.wav","Theta",180,"choir"
8,"1116.avi","zero","sin-zero-4Hz-choir9.wav","Theta",0,"choir"
9,"1169.avi","oneeighty","sin-oneeighty-4Hz-dar20.wav","Theta",180,"dar"
10,"1013.avi","zero","sin-zero-4Hz-yann11.wav","Theta",0,"yann"
11,"1002.avi","zero","sin-zero-4Hz-yann5.wav","Theta",0,"yann"
12,"1134.avi","oneeighty","sin-oneeighty-4Hz-choir21.wav","Theta",180,"choir"
13,"1090.avi","oneeighty","sin-oneeighty-4Hz-acoustic24.wav","Theta",180,"acoustic"
14,"1172.avi","oneeighty","sin-oneeighty-4Hz-dar14.wav","Theta",180,"dar"
15,"1036.avi","oneeighty","sin-oneeighty-4Hz-yann18.wav","Theta",180,"yann"
16,"1068.avi","zero","sin-zero-4Hz-acoustic9.wav","Theta",0,"acoustic"
