trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1063-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann1.wav","Gamma",270,"yann"
2,"1039-sin-37.5Hz-ninety.avi","zero","sin-zero-synth22.wav","Gamma",0,"synth"
3,"1052-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann12.wav","Gamma",180,"yann"
4,"1092-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic15.wav","Theta",180,"acoustic"
5,"1051-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann24.wav","Gamma",180,"yann"
6,"1043-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth6.wav","Gamma",90,"synth"
7,"1066-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann3.wav","Gamma",270,"yann"
8,"1044-sin-37.5Hz-ninety.avi","zero","sin-zero-synth20.wav","Gamma",0,"synth"
9,"1075-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic14.wav","Theta",180,"acoustic"
10,"1094-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic8.wav","Theta",0,"acoustic"
11,"1076-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic9.wav","Theta",0,"acoustic"
12,"1026-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth5.wav","Gamma",90,"synth"
