trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1078-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic7.wav","Theta",0,"acoustic"
2,"1042-sin-37.5Hz-ninety.avi","zero","sin-zero-synth19.wav","Gamma",0,"synth"
3,"1058-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann4.wav","Gamma",270,"yann"
4,"1090-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-acoustic10.wav","Theta",0,"acoustic"
5,"1034-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth18.wav","Gamma",90,"synth"
6,"1069-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann11.wav","Gamma",180,"yann"
7,"1041-sin-37.5Hz-ninety.avi","ninety","sin-ninety-synth17.wav","Gamma",90,"synth"
8,"1072-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-yann2.wav","Gamma",270,"yann"
9,"1032-sin-37.5Hz-ninety.avi","zero","sin-zero-synth21.wav","Gamma",0,"synth"
10,"1059-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-yann23.wav","Gamma",180,"yann"
11,"1073-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic13.wav","Theta",180,"acoustic"
12,"1089-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-acoustic16.wav","Theta",180,"acoustic"
