trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1032.avi","oneeighty","sin-oneeighty-4Hz-orch18.wav","Theta",180,"orch"
2,"1163.avi","zero","sin-zero-4Hz-acoustic10.wav","Theta",0,"acoustic"
3,"1186.avi","oneeighty","sin-oneeighty-4Hz-acoustic13.wav","Theta",180,"acoustic"
4,"1025.avi","oneeighty","sin-oneeighty-4Hz-orch19.wav","Theta",180,"orch"
5,"1066.avi","zero","sin-zero-4Hz-synth5.wav","Theta",0,"synth"
6,"1088.avi","oneeighty","sin-oneeighty-4Hz-synth20.wav","Theta",180,"synth"
7,"1100.avi","zero","sin-zero-4Hz-yann8.wav","Theta",0,"yann"
8,"1180.avi","oneeighty","sin-oneeighty-4Hz-acoustic17.wav","Theta",180,"acoustic"
9,"1078.avi","oneeighty","sin-oneeighty-4Hz-synth17.wav","Theta",180,"synth"
10,"1022.avi","zero","sin-zero-4Hz-orch3.wav","Theta",0,"orch"
11,"1067.avi","zero","sin-zero-4Hz-synth7.wav","Theta",0,"synth"
12,"1098.avi","zero","sin-zero-4Hz-yann1.wav","Theta",0,"yann"
13,"1017.avi","zero","sin-zero-4Hz-orch9.wav","Theta",0,"orch"
14,"1142.avi","oneeighty","sin-oneeighty-4Hz-yann18.wav","Theta",180,"yann"
15,"1121.avi","oneeighty","sin-oneeighty-4Hz-yann16.wav","Theta",180,"yann"
16,"1159.avi","zero","sin-zero-4Hz-acoustic9.wav","Theta",0,"acoustic"
