trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1071.avi","zero","sin-zero-4Hz-ep1.wav","Theta",0,"ep"
2,"1120.avi","zero","sin-zero-4Hz-synth3.wav","Theta",0,"synth"
3,"1188.avi","oneeighty","sin-oneeighty-4Hz-yann14.wav","Theta",180,"yann"
4,"1092.avi","oneeighty","sin-oneeighty-4Hz-ep16.wav","Theta",180,"ep"
5,"1045.avi","oneeighty","sin-oneeighty-4Hz-dar24.wav","Theta",180,"dar"
6,"1116.avi","zero","sin-zero-4Hz-synth12.wav","Theta",0,"synth"
7,"1036.avi","oneeighty","sin-oneeighty-4Hz-dar20.wav","Theta",180,"dar"
8,"1166.avi","zero","sin-zero-4Hz-yann4.wav","Theta",0,"yann"
9,"1008.avi","zero","sin-zero-4Hz-dar1.wav","Theta",0,"dar"
10,"1125.avi","oneeighty","sin-oneeighty-4Hz-synth14.wav","Theta",180,"synth"
11,"1083.avi","oneeighty","sin-oneeighty-4Hz-ep13.wav","Theta",180,"ep"
12,"1003.avi","zero","sin-zero-4Hz-dar6.wav","Theta",0,"dar"
13,"1164.avi","zero","sin-zero-4Hz-yann5.wav","Theta",0,"yann"
14,"1171.avi","oneeighty","sin-oneeighty-4Hz-yann24.wav","Theta",180,"yann"
15,"1060.avi","zero","sin-zero-4Hz-ep11.wav","Theta",0,"ep"
16,"1126.avi","oneeighty","sin-oneeighty-4Hz-synth21.wav","Theta",180,"synth"
