trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1050-sin-37.5Hz-ninety.avi","ninety","sin-ninety-dar22.wav","Gamma",90,"dar"
2,"1063-sin-37.5Hz-ninety.avi","ninety","sin-ninety-dar20.wav","Gamma",90,"dar"
3,"1111-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-guitar7.wav","Theta",180,"guitar"
4,"1108-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-guitar2.wav","Theta",0,"guitar"
5,"1076-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-ep5.wav","Gamma",180,"ep"
6,"1103-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-guitar10.wav","Theta",180,"guitar"
7,"1055-sin-37.5Hz-ninety.avi","zero","sin-zero-dar14.wav","Gamma",0,"dar"
8,"1117-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-guitar4.wav","Theta",0,"guitar"
9,"1082-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-ep18.wav","Gamma",180,"ep"
10,"1093-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-ep11.wav","Gamma",270,"ep"
11,"1089-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-ep23.wav","Gamma",270,"ep"
12,"1057-sin-37.5Hz-ninety.avi","zero","sin-zero-dar16.wav","Gamma",0,"dar"
