trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1168.avi","zero","sin-zero-4Hz-guitar12.wav","Theta",0,"guitar"
2,"1107.avi","zero","sin-zero-4Hz-ep5.wav","Theta",0,"ep"
3,"1014.avi","zero","sin-zero-4Hz-choir3.wav","Theta",0,"choir"
4,"1095.avi","oneeighty","sin-oneeighty-4Hz-dar14.wav","Theta",180,"dar"
5,"1002.avi","zero","sin-zero-4Hz-choir5.wav","Theta",0,"choir"
6,"1080.avi","oneeighty","sin-oneeighty-4Hz-dar18.wav","Theta",180,"dar"
7,"1154.avi","zero","sin-zero-4Hz-guitar7.wav","Theta",0,"guitar"
8,"1137.avi","oneeighty","sin-oneeighty-4Hz-ep14.wav","Theta",180,"ep"
9,"1060.avi","zero","sin-zero-4Hz-dar8.wav","Theta",0,"dar"
10,"1028.avi","oneeighty","sin-oneeighty-4Hz-choir17.wav","Theta",180,"choir"
11,"1034.avi","oneeighty","sin-oneeighty-4Hz-choir21.wav","Theta",180,"choir"
12,"1191.avi","oneeighty","sin-oneeighty-4Hz-guitar18.wav","Theta",180,"guitar"
13,"1122.avi","oneeighty","sin-oneeighty-4Hz-ep24.wav","Theta",180,"ep"
14,"1100.avi","zero","sin-zero-4Hz-ep11.wav","Theta",0,"ep"
15,"1064.avi","zero","sin-zero-4Hz-dar12.wav","Theta",0,"dar"
16,"1182.avi","oneeighty","sin-oneeighty-4Hz-guitar20.wav","Theta",180,"guitar"
