trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1130.avi","oneeighty","sin-oneeighty-4Hz-yann20.wav","Theta",180,"yann"
2,"1091.avi","oneeighty","sin-oneeighty-4Hz-synth21.wav","Theta",180,"synth"
3,"1164.avi","zero","sin-zero-4Hz-acoustic1.wav","Theta",0,"acoustic"
4,"1040.avi","oneeighty","sin-oneeighty-4Hz-orch18.wav","Theta",180,"orch"
5,"1166.avi","zero","sin-zero-4Hz-acoustic7.wav","Theta",0,"acoustic"
6,"1117.avi","zero","sin-zero-4Hz-yann12.wav","Theta",0,"yann"
7,"1174.avi","oneeighty","sin-oneeighty-4Hz-acoustic20.wav","Theta",180,"acoustic"
8,"1141.avi","oneeighty","sin-oneeighty-4Hz-yann15.wav","Theta",180,"yann"
9,"1005.avi","zero","sin-zero-4Hz-orch11.wav","Theta",0,"orch"
10,"1106.avi","zero","sin-zero-4Hz-yann9.wav","Theta",0,"yann"
11,"1020.avi","zero","sin-zero-4Hz-orch7.wav","Theta",0,"orch"
12,"1043.avi","oneeighty","sin-oneeighty-4Hz-orch19.wav","Theta",180,"orch"
13,"1183.avi","oneeighty","sin-oneeighty-4Hz-acoustic18.wav","Theta",180,"acoustic"
14,"1064.avi","zero","sin-zero-4Hz-synth3.wav","Theta",0,"synth"
15,"1053.avi","zero","sin-zero-4Hz-synth7.wav","Theta",0,"synth"
16,"1094.avi","oneeighty","sin-oneeighty-4Hz-synth13.wav","Theta",180,"synth"
