respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
12,5,1,1081.avi,oneeighty,sin-oneeighty-4Hz-synth13.wav,180,synth,5,2.45181627592137,14275.5457189561
12,5,2,1021.avi,zero,sin-zero-4Hz-orch12.wav,0,orch,4,2.9345370900046,14283.1828872954
12,5,3,1107.avi,zero,sin-zero-4Hz-yann7.wav,0,yann,2,0.68707498600088,14291.8062846301
12,5,4,1030.avi,oneeighty,sin-oneeighty-4Hz-orch15.wav,180,orch,3,9.35099896307656,14298.9102797278
12,5,5,1162.avi,zero,sin-zero-4Hz-acoustic3.wav,0,acoustic,3,2.48453384490131,14314.1045469159
12,5,6,1152.avi,zero,sin-zero-4Hz-acoustic2.wav,0,acoustic,3,0.988767721652039,14322.0081852032
12,5,7,1002.avi,zero,sin-zero-4Hz-orch5.wav,0,orch,2,1.11643032766551,14328.3525366885
12,5,8,1104.avi,zero,sin-zero-4Hz-yann10.wav,0,yann,2,5.84410138603562,14335.0566624958
12,5,9,1129.avi,oneeighty,sin-oneeighty-4Hz-yann20.wav,180,yann,4,1.18734591426619,14347.2653318984
12,5,10,1052.avi,zero,sin-zero-4Hz-synth10.wav,0,synth,2,1.8033743021133,14354.6092015993
12,5,11,1062.avi,zero,sin-zero-4Hz-synth9.wav,0,synth,2,2.98773110030015,14362.832735983
12,5,12,1126.avi,oneeighty,sin-oneeighty-4Hz-yann17.wav,180,yann,5,1.31897418559311,14371.7094574341
12,5,13,1094.avi,oneeighty,sin-oneeighty-4Hz-synth18.wav,180,synth,4,0.822350751730482,14377.573985151
12,5,14,1173.avi,oneeighty,sin-oneeighty-4Hz-acoustic24.wav,180,acoustic,4,0.501779674190402,14383.0385650915
12,5,15,1180.avi,oneeighty,sin-oneeighty-4Hz-acoustic16.wav,180,acoustic,2,6.82397481197222,14389.1961049723
12,5,16,1043.avi,oneeighty,sin-oneeighty-4Hz-orch17.wav,180,orch,1,0.879392396198455,14402.1245931925
