trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1063.avi","zero","sin-zero-4Hz-choir10.wav","Theta",0,"choir","1068.avi","1092.avi","1063.avi","1094.avi",3
2,"1167.avi","zero","sin-zero-4Hz-ep10.wav","Theta",0,"ep","1164.avi","1167.avi","1180.avi","1176.avi",2
3,"1137.avi","oneeighty","sin-oneeighty-4Hz-dar19.wav","Theta",180,"dar","1137.avi","1120.avi","1123.avi","1116.avi",1
4,"1092.avi","oneeighty","sin-oneeighty-4Hz-choir24.wav","Theta",180,"choir","1068.avi","1063.avi","1094.avi","1092.avi",4
5,"1176.avi","oneeighty","sin-oneeighty-4Hz-ep14.wav","Theta",180,"ep","1180.avi","1176.avi","1167.avi","1164.avi",2
6,"1068.avi","zero","sin-zero-4Hz-choir4.wav","Theta",0,"choir","1068.avi","1094.avi","1063.avi","1092.avi",1
7,"1116.avi","zero","sin-zero-4Hz-dar10.wav","Theta",0,"dar","1123.avi","1120.avi","1137.avi","1116.avi",4
8,"1094.avi","oneeighty","sin-oneeighty-4Hz-choir20.wav","Theta",180,"choir","1092.avi","1063.avi","1068.avi","1094.avi",4
9,"1044.avi","oneeighty","sin-oneeighty-4Hz-acoustic19.wav","Theta",180,"acoustic","1007.avi","1031.avi","1010.avi","1044.avi",4
10,"1180.avi","oneeighty","sin-oneeighty-4Hz-ep13.wav","Theta",180,"ep","1180.avi","1176.avi","1167.avi","1164.avi",1
11,"1123.avi","oneeighty","sin-oneeighty-4Hz-dar20.wav","Theta",180,"dar","1116.avi","1120.avi","1137.avi","1123.avi",4
12,"1007.avi","zero","sin-zero-4Hz-acoustic1.wav","Theta",0,"acoustic","1031.avi","1007.avi","1010.avi","1044.avi",2
13,"1164.avi","zero","sin-zero-4Hz-ep7.wav","Theta",0,"ep","1176.avi","1164.avi","1167.avi","1180.avi",2
14,"1010.avi","zero","sin-zero-4Hz-acoustic3.wav","Theta",0,"acoustic","1044.avi","1031.avi","1010.avi","1007.avi",3
15,"1120.avi","zero","sin-zero-4Hz-dar1.wav","Theta",0,"dar","1137.avi","1120.avi","1116.avi","1123.avi",2
16,"1031.avi","oneeighty","sin-oneeighty-4Hz-acoustic20.wav","Theta",180,"acoustic","1044.avi","1031.avi","1010.avi","1007.avi",2
