trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1087.avi","oneeighty","sin-oneeighty-4Hz-yann15.wav","Theta",180,"yann"
2,"1169.avi","oneeighty","sin-oneeighty-4Hz-choir15.wav","Theta",180,"choir"
3,"1054.avi","zero","sin-zero-4Hz-yann1.wav","Theta",0,"yann"
4,"1160.avi","zero","sin-zero-4Hz-choir1.wav","Theta",0,"choir"
5,"1187.avi","oneeighty","sin-oneeighty-4Hz-choir17.wav","Theta",180,"choir"
6,"1036.avi","oneeighty","sin-oneeighty-4Hz-synth13.wav","Theta",180,"synth"
7,"1120.avi","zero","sin-zero-4Hz-acoustic2.wav","Theta",0,"acoustic"
8,"1071.avi","zero","sin-zero-4Hz-yann5.wav","Theta",0,"yann"
9,"1016.avi","zero","sin-zero-4Hz-synth6.wav","Theta",0,"synth"
10,"1006.avi","zero","sin-zero-4Hz-synth5.wav","Theta",0,"synth"
11,"1103.avi","zero","sin-zero-4Hz-acoustic10.wav","Theta",0,"acoustic"
12,"1156.avi","zero","sin-zero-4Hz-choir9.wav","Theta",0,"choir"
13,"1123.avi","oneeighty","sin-oneeighty-4Hz-acoustic24.wav","Theta",180,"acoustic"
14,"1033.avi","oneeighty","sin-oneeighty-4Hz-synth22.wav","Theta",180,"synth"
15,"1090.avi","oneeighty","sin-oneeighty-4Hz-yann22.wav","Theta",180,"yann"
16,"1138.avi","oneeighty","sin-oneeighty-4Hz-acoustic19.wav","Theta",180,"acoustic"
