respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
1,9,1,1145.avi,zero,sin-zero-4Hz-ep8.wav,0,ep,3,1.5300158934042,10839.8546708948
1,9,2,1065.avi,zero,sin-zero-4Hz-choir3.wav,0,choir,4,0.393880209316194,10847.0386277638
1,9,3,1147.avi,zero,sin-zero-4Hz-ep6.wav,0,ep,1,1.95844682350798,10852.4099668095
1,9,4,1040.avi,oneeighty,sin-oneeighty-4Hz-acoustic22.wav,180,acoustic,5,1.12636599506004,10859.2739642497
1,9,5,1095.avi,oneeighty,sin-oneeighty-4Hz-choir13.wav,180,choir,5,1.12057131731126,10865.5116541064
1,9,6,1053.avi,zero,sin-zero-4Hz-choir2.wav,0,choir,1,1.34681611195629,10871.5893533815
1,9,7,1128.avi,oneeighty,sin-oneeighty-4Hz-dar18.wav,180,dar,5,1.00825702335896,10879.1198269083
1,9,8,1035.avi,oneeighty,sin-oneeighty-4Hz-acoustic25.wav,180,acoustic,2,0.996952934090587,10884.8109877305
1,9,9,1116.avi,zero,sin-zero-4Hz-dar12.wav,0,dar,1,0.908645981595328,10891.2352033616
1,9,10,1076.avi,oneeighty,sin-oneeighty-4Hz-choir15.wav,180,choir,4,0.870679612822642,10896.7131314534
1,9,11,1184.avi,oneeighty,sin-oneeighty-4Hz-ep16.wav,180,ep,1,1.33459222777856,10903.9370500454
1,9,12,1188.avi,oneeighty,sin-oneeighty-4Hz-ep20.wav,180,ep,3,1.03278327766384,10910.0147994307
1,9,13,1003.avi,zero,sin-zero-4Hz-acoustic9.wav,0,acoustic,2,1.32867680242089,10916.9587655972
1,9,14,1126.avi,oneeighty,sin-oneeighty-4Hz-dar20.wav,180,dar,3,5.0672974723002,10924.3959570682
1,9,15,1001.avi,zero,sin-zero-4Hz-acoustic10.wav,0,acoustic,2,1.21771790037928,10934.4055088078
1,9,16,1108.avi,zero,sin-zero-4Hz-dar3.wav,0,dar,2,0.943015279101019,10941.5360840645
