respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
1,7,1,1024.avi,zero,sin-zero-4Hz-yann12.wav,0,yann,5,2.06561455250085,10252.9845926051
1,7,2,1049.avi,zero,sin-zero-4Hz-acoustic6.wav,0,acoustic,4,1.47329711911334,10259.8485426518
1,7,3,1181.avi,oneeighty,sin-oneeighty-4Hz-dar17.wav,180,dar,3,1.49165317060579,10266.606003873
1,7,4,1075.avi,oneeighty,sin-oneeighty-4Hz-acoustic13.wav,180,acoustic,4,1.16578525943441,10273.2834933491
1,7,5,1162.avi,zero,sin-zero-4Hz-dar4.wav,0,dar,5,1.27017066165172,10280.3872729002
1,7,6,1148.avi,zero,sin-zero-4Hz-dar1.wav,0,dar,4,2.16566330434762,10287.0514490468
1,7,7,1135.avi,oneeighty,sin-oneeighty-4Hz-choir22.wav,180,choir,2,1.73918818363927,10294.6220448909
1,7,8,1174.avi,oneeighty,sin-oneeighty-4Hz-dar23.wav,180,dar,2,1.49649907401545,10302.4723558915
1,7,9,1139.avi,oneeighty,sin-oneeighty-4Hz-choir24.wav,180,choir,3,1.64347064851972,10310.4292342036
1,7,10,1089.avi,oneeighty,sin-oneeighty-4Hz-acoustic16.wav,180,acoustic,3,2.60086545848753,10317.9197487242
1,7,11,1114.avi,zero,sin-zero-4Hz-choir8.wav,0,choir,4,1.21708729599413,10325.9033919513
1,7,12,1046.avi,oneeighty,sin-oneeighty-4Hz-yann17.wav,180,yann,2,1.51796196148462,10331.7944196493
1,7,13,1103.avi,zero,sin-zero-4Hz-choir10.wav,0,choir,5,1.21908446144153,10338.4452474496
1,7,14,1044.avi,oneeighty,sin-oneeighty-4Hz-yann18.wav,180,yann,2,1.68253370744969,10345.1096258484
1,7,15,1054.avi,zero,sin-zero-4Hz-acoustic4.wav,0,acoustic,2,0.98373076905591,10351.320357594
1,7,16,1021.avi,zero,sin-zero-4Hz-yann3.wav,0,yann,5,0.545931635722809,10357.2380843996
