respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
1,10,1,1023.avi,zero,sin-zero-4Hz-dar7.wav,0,dar,2,17.1847372003758,11104.5557387565
1,10,2,1010.avi,zero,sin-zero-4Hz-dar9.wav,0,dar,1,1.11559078031678,11126.3607766486
1,10,3,1107.avi,zero,sin-zero-4Hz-guitar6.wav,0,guitar,2,1.97655594614116,11132.7316906627
1,10,4,1081.avi,oneeighty,sin-oneeighty-4Hz-ep22.wav,180,ep,5,0.557762184565945,11139.3424864046
1,10,5,1090.avi,oneeighty,sin-oneeighty-4Hz-ep14.wav,180,ep,4,0.367476329696729,11144.4605781697
1,10,6,1119.avi,zero,sin-zero-4Hz-guitar5.wav,0,guitar,2,0.844759327375868,11151.2313611727
1,10,7,1171.avi,oneeighty,sin-oneeighty-4Hz-orch17.wav,180,orch,2,0.775133539309536,11157.8287955879
1,10,8,1164.avi,zero,sin-zero-4Hz-orch11.wav,0,orch,3,1.00427567282895,11164.8394494513
1,10,9,1185.avi,oneeighty,sin-oneeighty-4Hz-orch20.wav,180,orch,1,0.564283159179467,11172.2632801994
1,10,10,1031.avi,oneeighty,sin-oneeighty-4Hz-dar22.wav,180,dar,1,0.334558720316636,11178.0610813854
1,10,11,1032.avi,oneeighty,sin-oneeighty-4Hz-dar16.wav,180,dar,3,0.368601999280145,11183.8188982083
1,10,12,1052.avi,zero,sin-zero-4Hz-ep1.wav,0,ep,5,0.360503759024141,11190.6829200998
1,10,13,1138.avi,oneeighty,sin-oneeighty-4Hz-guitar14.wav,180,guitar,1,0.26162052347172,11197.4936515435
1,10,14,1131.avi,oneeighty,sin-oneeighty-4Hz-guitar15.wav,180,guitar,1,0.695493548304512,11202.6516956738
1,10,15,1068.avi,zero,sin-zero-4Hz-ep4.wav,0,ep,4,0.420611616826136,11209.3024812124
1,10,16,1153.avi,zero,sin-zero-4Hz-orch7.wav,0,orch,4,0.305792111861592,11216.1931868162
