trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1061-sin-37.5Hz-ninety.avi","ninety","sin-ninety-yann16.wav","Gamma",90,"yann"
2,"1112-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-choir24.wav","Theta",0,"choir"
3,"1057-sin-37.5Hz-ninety.avi","zero","sin-zero-yann9.wav","Gamma",0,"yann"
4,"1094-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-acoustic18.wav","Gamma",270,"acoustic"
5,"1074-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-acoustic19.wav","Gamma",180,"acoustic"
6,"1075-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-acoustic6.wav","Gamma",270,"acoustic"
7,"1068-sin-37.5Hz-ninety.avi","ninety","sin-ninety-yann14.wav","Gamma",90,"yann"
8,"1100-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-choir23.wav","Theta",0,"choir"
9,"1093-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-acoustic22.wav","Gamma",180,"acoustic"
10,"1113-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-choir2.wav","Theta",180,"choir"
11,"1106-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-choir1.wav","Theta",180,"choir"
12,"1054-sin-37.5Hz-ninety.avi","zero","sin-zero-yann7.wav","Gamma",0,"yann"
